Model,mean_metric,std_metric,count_metric,ci,EvalType
KNNImputer_MaxAbsScaler,0.2126718532350425,0.07393866439453482,94.0,0.015144103800537372,Overall
KNNImputer_MaxAbsScaler,0.19975260975421164,0.057304091774906536,18.0,0.028496654422642327,Bacillus
KNNImputer_MaxAbsScaler,0.2008222197414967,0.05280770680773707,4.0,0.08402884571040872,Pathogen
KNNImputer_MaxAbsScaler,0.2374407302094191,0.07721418155250313,72.0,0.018144443115070814,Interaction
KNNImputer_MinMaxScaler,0.21017232462271793,0.07417325778918069,94.0,0.015192153176983775,Overall
KNNImputer_MinMaxScaler,0.20033605755783673,0.05980751676901382,18.0,0.029741578383924275,Bacillus
KNNImputer_MinMaxScaler,0.19702375539494005,0.05250356802276567,4.0,0.08354489303414579,Pathogen
KNNImputer_MinMaxScaler,0.2331571609153768,0.07746429146628712,72.0,0.01820321606340652,Interaction
KNNImputer_RobustScaler,0.21000022515906222,0.07199346768327122,94.0,0.014745688963738976,Overall
KNNImputer_RobustScaler,0.19989140491104734,0.05570423901683401,18.0,0.027701066363189513,Bacillus
KNNImputer_RobustScaler,0.19767248722872696,0.050016336704370404,4.0,0.07958715297433863,Pathogen
KNNImputer_RobustScaler,0.23243678333741233,0.07556709326311731,72.0,0.017757396342426603,Interaction
KNNImputer_StandardScaler,0.21066931410318482,0.07293238851795604,94.0,0.014937998558419796,Overall
KNNImputer_StandardScaler,0.19640798967326462,0.05265805466409194,18.0,0.02618623452275602,Bacillus
KNNImputer_StandardScaler,0.20112986731239427,0.05409562539985815,4.0,0.08607821159291004,Pathogen
KNNImputer_StandardScaler,0.23447008532389557,0.07672028178148411,72.0,0.018028382358877895,Interaction
MeanImputer_MaxAbsScaler,0.20989929920187822,0.08143000537158736,94.0,0.016678478897662986,Overall
MeanImputer_MaxAbsScaler,0.18633873628341968,0.056941350532235556,18.0,0.02831626744647597,Bacillus
MeanImputer_MaxAbsScaler,0.20938368233472246,0.050939365748270855,4.0,0.08105589815955416,Pathogen
MeanImputer_MaxAbsScaler,0.23397547898749244,0.0860970504954247,72.0,0.02023181498112985,Interaction
MeanImputer_MinMaxScaler,0.205395862872414,0.07770470449636015,94.0,0.015915463449593253,Overall
MeanImputer_MinMaxScaler,0.18555366927490807,0.05485825764126931,18.0,0.027280369722500135,Bacillus
MeanImputer_MinMaxScaler,0.20145167224795688,0.05357974508644589,4.0,0.08525733089421618,Pathogen
MeanImputer_MinMaxScaler,0.22918224709437693,0.08202959399428514,72.0,0.019276009562694263,Interaction
MeanImputer_RobustScaler,0.20665463361129394,0.07971646671572782,94.0,0.016327512221661084,Overall
MeanImputer_RobustScaler,0.18414436157093464,0.05791708887984198,18.0,0.028801490711297634,Bacillus
MeanImputer_RobustScaler,0.20519882362585842,0.049195136957811816,4.0,0.07828044092467075,Pathogen
MeanImputer_RobustScaler,0.23062071563708883,0.08394040050453973,72.0,0.019725027079063928,Interaction
MeanImputer_StandardScaler,0.21031121861091362,0.08209090296008767,94.0,0.01681384382160004,Overall
MeanImputer_StandardScaler,0.18641684440909992,0.057736992325608555,18.0,0.028711930801878636,Bacillus
MeanImputer_StandardScaler,0.2106562399647611,0.05332930634476772,4.0,0.08485882697013931,Pathogen
MeanImputer_StandardScaler,0.23386057145887978,0.08679338066011288,72.0,0.020395444547725742,Interaction
MedianImputer_MaxAbsScaler,0.21166051254056922,0.08116007437642415,94.0,0.016623191680302376,Overall
MedianImputer_MaxAbsScaler,0.18544891366811678,0.055468321685957576,18.0,0.027583747434609233,Bacillus
MedianImputer_MaxAbsScaler,0.21382623492032649,0.04999863234708548,4.0,0.0795589813911242,Pathogen
MedianImputer_MaxAbsScaler,0.23570638903326452,0.08577506634550185,72.0,0.02015615241533218,Interaction
MedianImputer_MinMaxScaler,0.20731386945921834,0.07684643840559405,94.0,0.01573967354490025,Overall
MedianImputer_MinMaxScaler,0.18752354644472888,0.05797689273036282,18.0,0.028831230466499234,Bacillus
MedianImputer_MinMaxScaler,0.20362723740504482,0.050764521034638015,4.0,0.0807776812031045,Pathogen
MedianImputer_MinMaxScaler,0.23079082452788116,0.08058752654094128,72.0,0.018937140324567312,Interaction
MedianImputer_RobustScaler,0.20891416519665368,0.08046786683653344,94.0,0.016481413857813137,Overall
MedianImputer_RobustScaler,0.1866903417999479,0.05603051726089138,18.0,0.027863320716736407,Bacillus
MedianImputer_RobustScaler,0.20761313562162323,0.04944167401960675,4.0,0.07867273640538322,Pathogen
MedianImputer_RobustScaler,0.23243901816839,0.0852416988610216,72.0,0.020030817201165597,Interaction
MedianImputer_StandardScaler,0.2114743066652631,0.08287088254529658,94.0,0.016973599098455933,Overall
MedianImputer_StandardScaler,0.18589818788263532,0.05551386955829477,18.0,0.02760639785864489,Bacillus
MedianImputer_StandardScaler,0.21309998833143837,0.05261011088034082,4.0,0.08371442649586802,Pathogen
MedianImputer_StandardScaler,0.23542474378171557,0.08789283902658857,72.0,0.020653804597483467,Interaction
RandomForestImputer_MaxAbsScaler,0.21205133533788717,0.07589169361822479,94.0,0.015544122891107121,Overall
RandomForestImputer_MaxAbsScaler,0.19756378161302646,0.056823113561309424,18.0,0.028257469584122667,Bacillus
RandomForestImputer_MaxAbsScaler,0.20125815623317692,0.05191906526411815,4.0,0.08261481871180267,Pathogen
RandomForestImputer_MaxAbsScaler,0.23733206816745833,0.0795844269350116,72.0,0.01870142347343207,Interaction
RandomForestImputer_MinMaxScaler,0.20976287697714108,0.07523851352240854,94.0,0.01541033866261871,Overall
RandomForestImputer_MinMaxScaler,0.20016011721939217,0.05743302653146849,18.0,0.02856077216863586,Bacillus
RandomForestImputer_MinMaxScaler,0.1962319620116051,0.05301716281008107,4.0,0.08436213695079836,Pathogen
RandomForestImputer_MinMaxScaler,0.23289655170042595,0.07914006258060467,72.0,0.018597002969467792,Interaction
RandomForestImputer_RobustScaler,0.2107674992882176,0.07337093239889425,94.0,0.01502782103639398,Overall
RandomForestImputer_RobustScaler,0.19912137853805614,0.055328680449851696,18.0,0.027514305481596682,Bacillus
RandomForestImputer_RobustScaler,0.1989582738677108,0.04937891696294768,4.0,0.07857287592383563,Pathogen
RandomForestImputer_RobustScaler,0.23422284545888605,0.0771148861202582,72.0,0.018121109832431155,Interaction
RandomForestImputer_StandardScaler,0.21167526300949924,0.0752314964610358,94.0,0.015408901429383925,Overall
RandomForestImputer_StandardScaler,0.19885634931497656,0.058496570155255785,18.0,0.02908965997004314,Bacillus
RandomForestImputer_StandardScaler,0.20047777014224355,0.052764061665874454,4.0,0.08395939655017658,Pathogen
RandomForestImputer_StandardScaler,0.23569166957127743,0.07873012994405748,72.0,0.018500673522528256,Interaction
