Model,mean_metric,std_metric,count_metric,ci,EvalType
KNNImputer_MaxAbsScaler,-2.3708152213359286,7.631711055868868,94,1.56312567115196,Overall
KNNImputer_MaxAbsScaler,0.24415142516143618,0.3443012627259754,18,0.171216989874324,Bacillus
KNNImputer_MaxAbsScaler,0.27989149168720306,0.15186954437848174,4,0.2416583351962518,Pathogen
KNNImputer_MaxAbsScaler,-3.1718183670171105,8.572088927366819,72,2.0143421427600883,Interaction
KNNImputer_MinMaxScaler,-2.3297646408909864,7.781667258699581,94,1.5938396733563416,Overall
KNNImputer_MinMaxScaler,0.23509031624277396,0.36927659417786435,18,0.18363693001177658,Bacillus
KNNImputer_MinMaxScaler,0.30682547910811736,0.14761081270247065,4,0.23488174275249252,Pathogen
KNNImputer_MinMaxScaler,-3.1174556090632657,8.751883937668872,72,2.056591898843832,Interaction
KNNImputer_RobustScaler,-2.2834963551456817,7.667942695497783,94,1.5705466289944785,Overall
KNNImputer_RobustScaler,0.243915804170851,0.33880178646539744,18,0.16848216466988997,Bacillus
KNNImputer_RobustScaler,0.3015194790452734,0.12928724022335988,4,0.2057248499846153,Pathogen
KNNImputer_RobustScaler,-3.0589613857632014,8.624518621217968,72,2.0266625167962475,Interaction
KNNImputer_StandardScaler,-2.3076910402623607,7.735208957194722,94,1.58432409248742,Overall
KNNImputer_StandardScaler,0.2770600825796208,0.29065591705570526,18,0.14453978708479642,Bacillus
KNNImputer_StandardScaler,0.27728567847392105,0.1666026042493366,4,0.26510192117201875,Pathogen
KNNImputer_StandardScaler,-3.097488638680427,8.697656011765613,72,2.0438489609920474,Interaction
MeanImputer_MaxAbsScaler,-3.052381732330113,11.091064498536943,94,2.2716698144295058,Overall
MeanImputer_MaxAbsScaler,0.34272819943451593,0.3242385919334302,18,0.1612400584081358,Bacillus
MeanImputer_MaxAbsScaler,0.20383341670276592,0.1985642254359852,4,0.31595999280019127,Pathogen
MeanImputer_MaxAbsScaler,-4.082060056884208,12.510250981782965,72,2.9397648557586917,Interaction
MeanImputer_MinMaxScaler,-2.6493743399482135,9.503887939306649,94,1.9465846000887936,Overall
MeanImputer_MinMaxScaler,0.3502791264712648,0.3074132542435764,18,0.1528730148194268,Bacillus
MeanImputer_MinMaxScaler,0.26929773583690186,0.1834601392984114,4,0.2919260212385828,Pathogen
MeanImputer_MinMaxScaler,-3.561436155207812,10.709008332860211,72,2.516493584566167,Interaction
MeanImputer_RobustScaler,-3.0079353291738617,11.040883747529392,94,2.261391802130119,Overall
MeanImputer_RobustScaler,0.35531495406252017,0.33027976479411925,18,0.16424426299434106,Bacillus
MeanImputer_RobustScaler,0.23404775605922182,0.1926279928112665,4,0.30651412200826933,Pathogen
MeanImputer_RobustScaler,-4.028858071384795,12.45507164240568,72,2.926798346701317,Interaction
MeanImputer_StandardScaler,-3.139259627082279,11.481302970489288,94,2.3515983873162813,Overall
MeanImputer_StandardScaler,0.34063923245872774,0.3295250237843018,18,0.1638689391200906,Bacillus
MeanImputer_StandardScaler,0.1878841569388237,0.24664661365028745,4,0.39246980216111615,Pathogen
MeanImputer_StandardScaler,-4.194075663302037,12.954360383671393,72,3.0441254488183156,Interaction
MedianImputer_MaxAbsScaler,-3.2088225761188482,11.611615706159498,94,2.3782890181476857,Overall
MedianImputer_MaxAbsScaler,0.3485706231212354,0.3183306576206817,18,0.15830211179302534,Bacillus
MedianImputer_MaxAbsScaler,0.16004293026566502,0.2449817534481363,4,0.3898206380615408,Pathogen
MedianImputer_MaxAbsScaler,-4.285330070728008,13.098019141050468,72,3.077883601774635,Interaction
MedianImputer_MinMaxScaler,-2.5486604377148536,8.978549374271525,94,1.838984850695629,Overall
MedianImputer_MinMaxScaler,0.33317710136859857,0.3373803788774135,18,0.16777531530584092,Bacillus
MedianImputer_MinMaxScaler,0.2512748702375583,0.1728964734650897,4,0.27511687158782666,Pathogen
MedianImputer_MinMaxScaler,-3.4246717840386287,10.11135806771532,72,2.376052657516324,Interaction
MedianImputer_RobustScaler,-3.130762449547311,11.507399877446144,94,2.356943551055225,Overall
MedianImputer_RobustScaler,0.3391249068400624,0.3205793905856646,18,0.1594203803879389,Bacillus
MedianImputer_RobustScaler,0.2126554962152875,0.2129797847341302,4,0.33889836451368516,Pathogen
MedianImputer_RobustScaler,-4.183979730075411,12.985309759801344,72,3.051398195655048,Interaction
MedianImputer_StandardScaler,-3.2145912669962535,11.825009158404304,94,2.4219962262452834,Overall
MedianImputer_StandardScaler,0.3456785770769039,0.31332251629891067,18,0.15581162170539153,Bacillus
MedianImputer_StandardScaler,0.16541089255807864,0.2607392888946398,4,0.41489439329259625,Pathogen
MedianImputer_StandardScaler,-4.292436625767561,13.345301604603979,72,3.1359921318799544,Interaction
RandomForestImputer_MaxAbsScaler,-2.459249908137017,8.213975790642465,94,1.6823850282827808,Overall
RandomForestImputer_MaxAbsScaler,0.2641053816509886,0.32775611587844394,18,0.1629892819134688,Bacillus
RandomForestImputer_MaxAbsScaler,0.27562116646558493,0.14910157349762027,4,0.2372538758447858,Pathogen
RandomForestImputer_MaxAbsScaler,-3.292026012506385,9.238170929851002,72,2.1708637397134773,Interaction
RandomForestImputer_MinMaxScaler,-2.2503756852656713,7.569244356301067,94,1.5503312531018327,Overall
RandomForestImputer_MinMaxScaler,0.244839347347865,0.34622529366951665,18,0.17217378795275676,Bacillus
RandomForestImputer_MinMaxScaler,0.31212169011613977,0.15468007638530976,4,0.2461305187967583,Pathogen
RandomForestImputer_MinMaxScaler,-3.016540408718045,8.513106920970978,72,2.000482050762165,Interaction
