Model,mean_metric,Method,ci_low,ci_up,ci,EvalType
RandomForestImputer_MaxAbsScaler,0.19913849289099494,combinatoric,0.16240138908490434,0.2972681054501601,0.036737103806090604,Pathogen
RandomForestImputer_MaxAbsScaler,0.234829510222753,combinatoric,0.16267205941409224,0.2950383090955053,0.07215745080866076,Interaction
RandomForestImputer_MinMaxScaler,0.2116043920481747,combinatoric,0.16308619044971084,0.2992194784188219,0.048518201598463845,Overall
RandomForestImputer_MinMaxScaler,0.2011403229307131,combinatoric,0.1661428194822444,0.2990852139923577,0.03499750344846869,Bacillus
RandomForestImputer_MinMaxScaler,0.1984783095018036,combinatoric,0.16386815330479448,0.30037496833964483,0.034610156197009107,Pathogen
RandomForestImputer_MinMaxScaler,0.23519454371200724,combinatoric,0.16369181400118435,0.3047801588872479,0.07150272971082289,Interaction
RandomForestImputer_RobustScaler,0.21122175739928298,combinatoric,0.16371691665859212,0.30180093234034694,0.04750484074069086,Overall
RandomForestImputer_RobustScaler,0.20081321792486292,combinatoric,0.16168647126035082,0.2978234601672263,0.0391267466645121,Bacillus
RandomForestImputer_RobustScaler,0.19846188007483662,combinatoric,0.16145227402861814,0.3032332330692258,0.037009606046218474,Pathogen
RandomForestImputer_RobustScaler,0.2343901741981493,combinatoric,0.16316674992097766,0.3014474082781189,0.07122342427717165,Interaction
RandomForestImputer_StandardScaler,0.21076320552442185,combinatoric,0.16266274935607125,0.30151543248335966,0.0481004561683506,Overall
RandomForestImputer_StandardScaler,0.19953951357753724,combinatoric,0.1626167731930675,0.2974953816320315,0.03692274038446974,Bacillus
RandomForestImputer_StandardScaler,0.1989954724051277,combinatoric,0.16382801381671383,0.305719101737552,0.03516745858841386,Pathogen
RandomForestImputer_StandardScaler,0.23375463059060084,combinatoric,0.16202239784647382,0.3017843309200739,0.07173223274412702,Interaction
