Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
12001_x_E.co,combinatoric,MeanImputer_RobustScaler,0.08135117556023634,0.24516674751429104,0.09988262457830567,0.24342478469801407,0.10645258712020038,0.8114661613750145,[0.40398211 0.40398211 0.40398211 ... 0.80937812 0.78346815 0.78346815],"[[0.48296558]
 [0.40737366]
 [0.40737366]
 ...
 [0.91659296]
 [0.93965865]
 [0.93965865]]"
12001_x_S.en,combinatoric,MeanImputer_RobustScaler,0.09434204761999397,0.16720170477268417,0.35158924750667503,0.5690970731159696,0.12277494250213823,0.7533252960464107,[0.37104715 0.37570448 0.37104715 ... 0.83563213 0.83563213 0.83563213],"[[0.11595643]
 [0.42955449]
 [0.11595643]
 ...
 [0.91417669]
 [0.91417669]
 [0.77917198]]"
12001_x_S.au,combinatoric,MeanImputer_RobustScaler,0.07116426812501066,0.046963767166663235,0.0826847059780292,0.06029977960365217,0.09252887670188893,-2.369313608223733,[0.93228859 0.930754   0.93228859 ... 0.8419884  0.84247859 0.84247859],"[[0.92651453]
 [0.92651453]
 [0.78825672]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]"
12048_x_E.ce,combinatoric,MeanImputer_RobustScaler,0.07686301967213473,0.030936806485038385,0.08478117673703275,0.029803247755851865,0.10431401557873553,-1.2875942097038395,[0.84690692 0.84690692 0.84690692 ... 0.88795453 0.88795453 0.88795453],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.75189398]
 [0.90756892]
 [0.90756892]]"
12048_x_E.co,combinatoric,MeanImputer_RobustScaler,0.04581698980653332,0.20185358092674296,0.08349827628742432,0.1815298364218076,0.05781601833371219,0.9469234696790647,[0.43173816 0.43173816 0.43173816 ... 0.80360901 0.76864919 0.76864919],"[[0.38193534]
 [0.38193534]
 [0.38193534]
 ...
 [0.83077776]
 [0.83077776]
 [0.88097163]]"
12048_x_S.en,combinatoric,MeanImputer_RobustScaler,0.09534850868615799,0.14836549924322898,0.8894681278956997,1.9998561149597838,0.13905852874120567,0.751183335871605,[0.39888763 0.40517452 0.39888763 ... 0.79702628 0.79702628 0.79702628],"[[0.05203706]
 [0.35335252]
 [0.30769525]
 ...
 [0.89975877]
 [0.89975877]
 [0.86838695]]"
12048_x_S.au,combinatoric,MeanImputer_RobustScaler,0.09063878258064229,0.016333949871370018,0.09213845823430512,0.01511941959303719,0.1014822212613141,-6.269548414627673,[0.92141387 0.91953825 0.92141387 ... 0.81070295 0.80884226 0.80884226],"[[0.97039675]
 [0.97761851]
 [0.87807663]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]"
12701_x_E.ce,combinatoric,MeanImputer_RobustScaler,0.13825025991474096,0.10936915188330835,0.1586104710023225,0.1060621188824384,0.19740316818851766,-1.2662651021649172,[0.7023502  0.7023502  0.7023502  ... 0.61918125 0.61918125 0.61918125],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.88223754]
 [0.77827844]
 [0.88223754]]"
12701_x_E.co,combinatoric,MeanImputer_RobustScaler,0.20875121173450253,0.23792496813138228,1.0875465192880966,0.514267384929929,0.2906141921591135,0.2448402546011168,[0.35380411 0.35380411 0.35380411 ... 0.66334803 0.6696176  0.6696176 ],"[[0.45942264]
 [0.41486875]
 [0.45942264]
 ...
 [0.13633384]
 [0.2366919 ]
 [0.2366919 ]]"
12701_x_S.en,combinatoric,MeanImputer_RobustScaler,0.15195879520403452,0.14978611868117742,0.2703306215227732,0.16573769221555154,0.1814574770861747,-0.3075134250187592,[0.37857652 0.38233333 0.38962976 ... 0.57911903 0.57911903 0.57911903],"[[0.49806811]
 [0.6086484 ]
 [0.6086484 ]
 ...
 [0.70306232]
 [0.70306232]
 [0.70306232]]"
