,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
195,1234,S.au,47.8742,,0.90502,430774.0521,19.9457,364483.9678,0.80032,II,0.803842807
196,1234,S.au,61.7609,,0.91044,423707.6243,20.0189,368303.7143,0.80157,II,0.914667103
197,1234,S.au,80.0871,,0.9484,898273.8562,35.2458,58993.235,0.28762,II,0.901181779
198,C5,S.au,74.6364,,,13411.8704,19.6327,313792.4036,0.76438,II,0.924039734
199,C5,S.au,25.8057,,,66219.0028,20.2363,292869.5637,0.73303,II,0.913568093
200,C5,S.au,235.1767,,0.71325,265181.1304,16.4262,14370.3589,0.088074,II,0.981459817
201,1218,S.au,77.8107,,0.90788,722227.5898,35.1505,31477.4671,0.16447,II,0.943927903
202,1218,S.au,74.6956,,0.93422,611517.4584,35.2458,58993.235,0.28762,II,0.860909397
203,1218,S.au,77.8107,,0.90788,722227.5898,19.4814,293078.0147,0.72777,II,0.942070126
204,1298,S.au,85.7338,,0.85781,678835.6906,21.3832,33444.7322,0.20438,II,0.75748653
205,1298,S.au,75.1406,,0.71959,519150.1206,19.2987,262924.7083,0.7625,II,0.941420617
206,1298,S.au,75.1406,,0.71959,519150.1206,19.2987,262924.7083,0.7625,II,0.951472536
207,1219,S.au,83.9505,,0.74061,848664.7304,16.9475,252159.0783,0.70733,II,0.823884586
208,1219,S.au,108.5523,,0.78906,1274417.0768,20.2363,292869.5637,0.73303,II,0.920806531
209,1219,S.au,149.9104,,0.61388,1294630.5617,19.9732,303964.2707,0.76639,II,0.945517376
210,1167,S.au,68.2658,,0.92618,802934.7143,19.6327,313792.4036,0.76438,II,0.605864797
211,1167,S.au,107.2855,,0.89046,1048314.977,16.9475,252159.0783,0.70733,II,0.83673575
212,1167,S.au,68.2658,,0.92618,802934.7143,19.7343,342784.9095,0.82544,II,0.934828858
213,1339,S.au,59.6199,,0.60337,954346.5641,21.3832,33444.7322,0.20438,II,0.656579443
214,1339,S.au,85.1183,,0.58028,731235.8562,21.4468,5878.6291,0.034027,II,0.942190272
215,1339,S.au,91.8112,,0.70071,1143134.8983,19.4814,293078.0147,0.72777,II,0.913747373
216,11285,E.ce,71.2709,0.24003,0.74907,717122.4472,17.1181,312492.0215,,II,0.964516235
217,11285,E.ce,96.0967,0.38732,0.54785,574453.1089,20.6751,259495.2255,,II,0.970511301
218,11285,E.ce,151.408,0.29604,0.25154,892283.1147,15.0361,95814.5721,,II,0.976644667
