,Bacillus,Pathogene,B_Biofilm_Height,B_Biofilm_Roughness,B_Biofilm_SubstratumCoverage,B_Biofilm_Volume,P_Biofilm_Height,P_Biofilm_Volume,P_Biofilm_SubstratumCoverage,Modele,Score
0,11285,E.ce,76.91478888888889,0.3104183333333333,0.6242466666666667,611786.1327277778,18.72495277777778,179213.4026638889,,I,0.913489449
1,11285,E.ce,36.43899246563685,0.21022655055594625,0.44535267425154335,484317.9233640614,13.013818367868673,54193.56405098962,,I,0.984517149
2,11285,E.ce,117.39058531214093,0.41061011611072035,0.8031406590817901,739254.3420914942,24.436087187686887,304233.2412767882,,I,0.992624371
3,12048,E.ce,62.21591666666667,0.33504055555555556,0.6619172222222223,552220.5014444445,18.72495277777778,179213.4026638889,,I,0.951883111
4,12048,E.ce,35.77973725657604,0.25134824292090674,0.5213063876939812,406791.46947293443,13.013818367868673,54193.56405098962,,I,0.982054715
5,12048,E.ce,88.6520960767573,0.4187328681902044,0.8025280567504633,697649.5334159546,24.436087187686887,304233.2412767882,,I,0.991767815
6,B8,E.ce,60.31269375,,,65793.23681249999,18.72495277777778,179213.4026638889,,I,0.955964078
7,B8,E.ce,37.52702844268813,,,51580.09939662277,13.013818367868673,54193.56405098962,,I,0.98038748
8,B8,E.ce,83.09835905731188,,,80006.37422837722,24.436087187686887,304233.2412767882,,I,0.992372415
9,12701,E.ce,68.75899444444445,0.2457483333333333,0.6689194444444445,715988.4655222223,18.72495277777778,179213.4026638889,,I,0.6237963
10,12701,E.ce,43.677768231919316,0.18534912424634828,0.5650928839124034,490305.4388791757,13.013818367868673,54193.56405098962,,I,0.717105704
11,12701,E.ce,93.84022065696959,0.30614754242031833,0.7727460049764856,941671.492165269,24.436087187686887,304233.2412767882,,I,0.716313525
12,11457,E.ce,60.730621052631584,0.3029257894736842,0.6593231578947368,544139.3893736842,18.72495277777778,179213.4026638889,,I,0.848429728
13,11457,E.ce,34.86555560223612,0.24078643510611103,0.4801148449985982,415664.12179510004,13.013818367868673,54193.56405098962,,I,0.783745156
14,11457,E.ce,86.59568650302705,0.3650651438412574,0.8385314707908755,672614.6569522683,24.436087187686887,304233.2412767882,,I,0.786601123
15,B18,E.ce,59.7705375,,,53810.314675,18.72495277777778,179213.4026638889,,I,0.612782392
16,B18,E.ce,-0.525644823571227,,,41678.19214307406,13.013818367868673,54193.56405098962,,I,0.692536962
17,B18,E.ce,120.06671982357123,,,65942.43720692594,24.436087187686887,304233.2412767882,,I,0.654503033
18,B1,E.ce,67.54486875,,,66057.76463125,18.72495277777778,179213.4026638889,,I,0.425093847
19,B1,E.ce,47.115345176207384,,,53700.80253785625,13.013818367868673,54193.56405098962,,I,0.668375876
20,B1,E.ce,87.97439232379263,,,78414.72672464374,24.436087187686887,304233.2412767882,,I,0.629559491
21,12832,E.ce,55.79953888888889,0.34981166666666663,0.7528561111111112,516621.4717166666,18.72495277777778,179213.4026638889,,I,0.722250905
22,12832,E.ce,33.01911243253194,0.24364184231540487,0.7106851842987932,324590.29300427414,13.013818367868673,54193.56405098962,,I,0.671873123
23,12832,E.ce,78.57996534524584,0.4559814910179284,0.7950270379234291,708652.650429059,24.436087187686887,304233.2412767882,,I,0.582727516
24,1273,E.ce,62.25805833333334,,0.9205341666666667,765473.4745166666,18.72495277777778,179213.4026638889,,I,0.629977344
25,1273,E.ce,44.501945376924105,,0.8713700636614703,646289.8118030746,13.013818367868673,54193.56405098962,,I,0.58704173
26,1273,E.ce,80.01417128974256,,0.969698269671863,884657.1372302587,24.436087187686887,304233.2412767882,,I,0.580272842
27,12001,E.ce,60.14017894736842,0.2994578947368421,0.7516042105263159,573234.5132210527,18.72495277777778,179213.4026638889,,I,0.79475732
28,12001,E.ce,24.47366432133535,0.22919698986462597,0.5879974407102723,406778.8238290912,13.013818367868673,54193.56405098962,,I,0.770548825
29,12001,E.ce,95.80669357340149,0.3697187996090582,0.9152109803423595,739690.2026130143,24.436087187686887,304233.2412767882,,I,0.778161671
30,1202,E.ce,87.005275,,0.6926016666666667,694631.6261166666,18.72495277777778,179213.4026638889,,I,0.149063551
31,1202,E.ce,75.24248193123688,,0.6477568260430726,583631.7748704507,13.013818367868673,54193.56405098962,,I,0.596500965
32,1202,E.ce,98.76806806876311,,0.7374465072902607,805631.4773628825,24.436087187686887,304233.2412767882,,I,0.612621901
33,1234,E.ce,69.32023333333333,,0.9186866666666665,588678.2654,18.72495277777778,179213.4026638889,,I,0.699926149
34,1234,E.ce,57.50570887941551,,0.9006096516414412,378665.96848786465,13.013818367868673,54193.56405098962,,I,0.58704173
35,1234,E.ce,81.13475778725116,,0.9367636816918918,798690.5623121355,24.436087187686887,304233.2412767882,,I,0.566215034
36,C5,E.ce,60.35730000000001,,0.7076450000000001,70246.81991875,18.72495277777778,179213.4026638889,,I,0.61741846
37,C5,E.ce,1.182976755897755,,0.70204,-8813.76590686226,13.013818367868673,54193.56405098962,,I,0.513424347
38,C5,E.ce,119.53162324410226,,0.7132500000000002,149307.40574436227,24.436087187686887,304233.2412767882,,I,0.647493586
39,1218,E.ce,90.21637499999999,,0.8548574999999999,822957.0681166667,18.72495277777778,179213.4026638889,,I,0.409030031
40,1218,E.ce,61.532478550652755,,0.7451581597463625,467180.3594350972,13.013818367868673,54193.56405098962,,I,0.625758393
41,1218,E.ce,118.90027144934722,,0.9645568402536374,1178733.7767982362,24.436087187686887,304233.2412767882,,I,0.714031272
42,1298,E.ce,97.42631666666666,,0.8089491666666667,1123312.9045499999,18.72495277777778,179213.4026638889,,I,0.361491941
43,1298,E.ce,74.67057862125516,,0.7381621909980767,702920.3934902126,13.013818367868673,54193.56405098962,,I,0.43979194
44,1298,E.ce,120.18205471207817,,0.8797361423352568,1543705.4156097872,24.436087187686887,304233.2412767882,,I,0.568348235
45,1219,E.ce,107.06124999999999,,0.7454883333333333,1101135.45055,18.72495277777778,179213.4026638889,,I,0.217034613
46,1219,E.ce,82.77376759185745,,0.6542458645269222,802848.6067280697,13.013818367868673,54193.56405098962,,I,0.269192824
47,1219,E.ce,131.34873240814252,,0.8367308021397444,1399422.2943719302,24.436087187686887,304233.2412767882,,I,0.561884052
48,1167,E.ce,77.01799166666667,,0.9115816666666664,884281.615925,18.72495277777778,179213.4026638889,,I,0.471144382
49,1167,E.ce,58.38516815239227,,0.8836785665302618,660468.9893514718,13.013818367868673,54193.56405098962,,I,0.728316224
50,1167,E.ce,95.65081518094108,,0.939484766803071,1108094.2424985284,24.436087187686887,304233.2412767882,,I,0.719851859
51,1339,E.ce,85.12441666666668,,0.6552833333333333,973968.6844000001,18.72495277777778,179213.4026638889,,I,0.167776598
52,1339,E.ce,74.81214333785816,,0.5269541938564051,760066.6773113783,13.013818367868673,54193.56405098962,,I,0.580481745
53,1339,E.ce,95.43668999547519,,0.7836124728102616,1187870.691488622,24.436087187686887,304233.2412767882,,I,0.586662326
54,11285,S.en,76.91478888888889,0.3104183333333333,0.6242466666666667,611786.1327277778,78.86540555555555,228226.09505833333,0.1690962125,I,0.292114551
55,11285,S.en,36.43899246563685,0.21022655055594625,0.44535267425154335,484317.9233640614,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.30351804
56,11285,S.en,117.39058531214093,0.41061011611072035,0.8031406590817901,739254.3420914942,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.502661166
57,12048,S.en,62.21591666666667,0.33504055555555556,0.6619172222222223,552220.5014444445,78.86540555555555,228226.09505833333,0.1690962125,I,0.307695246
58,12048,S.en,35.77973725657604,0.25134824292090674,0.5213063876939812,406791.46947293443,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.052037063
59,12048,S.en,88.6520960767573,0.4187328681902044,0.8025280567504633,697649.5334159546,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.353352521
60,B8,S.en,60.31269375,,,65793.23681249999,78.86540555555555,228226.09505833333,0.1690962125,I,0.370630273
61,B8,S.en,37.52702844268813,,,51580.09939662277,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.0
62,B8,S.en,83.09835905731188,,,80006.37422837722,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.406558157
63,12701,S.en,68.75899444444445,0.2457483333333333,0.6689194444444445,715988.4655222223,78.86540555555555,228226.09505833333,0.1690962125,I,0.608648398
64,12701,S.en,43.677768231919316,0.18534912424634828,0.5650928839124034,490305.4388791757,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.344344087
65,12701,S.en,93.84022065696959,0.30614754242031833,0.7727460049764856,941671.492165269,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.498068106
66,11457,S.en,60.730621052631584,0.3029257894736842,0.6593231578947368,544139.3893736842,78.86540555555555,228226.09505833333,0.1690962125,I,0.394264088
67,11457,S.en,34.86555560223612,0.24078643510611103,0.4801148449985982,415664.12179510004,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.209883064
68,11457,S.en,86.59568650302705,0.3650651438412574,0.8385314707908755,672614.6569522683,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.598381555
69,B18,S.en,59.7705375,,,53810.314675,78.86540555555555,228226.09505833333,0.1690962125,I,0.416175948
70,B18,S.en,-0.525644823571227,,,41678.19214307406,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.253364625
71,B18,S.en,120.06671982357123,,,65942.43720692594,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.4818378
72,B1,S.en,67.54486875,,,66057.76463125,78.86540555555555,228226.09505833333,0.1690962125,I,0.365059739
73,B1,S.en,47.115345176207384,,,53700.80253785625,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.318699309
74,B1,S.en,87.97439232379263,,,78414.72672464374,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.45865587
75,12832,S.en,55.79953888888889,0.34981166666666663,0.7528561111111112,516621.4717166666,78.86540555555555,228226.09505833333,0.1690962125,I,0.282108224
76,12832,S.en,33.01911243253194,0.24364184231540487,0.7106851842987932,324590.29300427414,62.95886203039752,60104.26470350087,-0.04958321258304785,I,0.19281484
77,12832,S.en,78.57996534524584,0.4559814910179284,0.7950270379234291,708652.650429059,94.77194908071358,396347.9254131658,0.3877756375830479,I,0.472061305
78,1273,S.en,62.25805833333334,,0.9205341666666667,765473.4745166666,78.86540555555555,228226.09505833333,0.1690962125,I,0.508598622
