,Collection,Ncells,Timepoint,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
1,I,7832.0,16-Mar-2022 14:32:30,0.048059,0.059835,1.245,46047.9491,0.5957,12.9845,270.1762,,,60777.3345,1.3199,217.0067,257,73.3256,126.9749,61,1,24,113,56.8146,51.9731,0.998,0.16863,0.34354,0.11,0.001,0.034,0.249,0.17233,0.20235,33650,4942.5056,4280.1861,4757.5,1,2515.5,7145.5,3052.3653,2425.1518,81.6844,27.4265,33.5305,25.5397,16.2439,21.0861,31.7099,8.4539,9.2579,46.9921,7.7601,16.0897,4.9911,0.047086,1.5068,11.4891,8.0403,9.5392
1,I,9842.0,16-Mar-2022 14:32:30,0.061636,0.0682,1.1065,42241.9727,0.42806,15.0361,243.9509,,,95814.5721,2.2682,220.4712,304,84.3881,136.0645,77,1,31,131,60.0436,49.1072,1,0.21237,0.41142,0.146,0.001,0.044,0.323,0.20669,0.22526,15866,5598.5897,4434.3189,5409.5,1,2811,8158,3394.9872,2698.8384,78.2012,27.0812,33.1429,24.9808,16.0026,20.6963,31.3234,8.5925,9.2719,46.7096,9.7353,19.2467,6.545,0.047086,1.9776,14.8322,9.6232,10.6294
1,I,12706.0,16-Mar-2022 14:32:30,0.094663,0.054278,0.57339,53857.9106,0.81928,18.7708,198.2914,,,156140.9612,2.8991,345.8246,310,93.7925,139.2048,93,0,38,143,61.6471,46.9648,1,0.26794,0.49131,0.197,0.001,0.059,0.423,0.24533,0.24431,18734,6885.4282,5621.3847,6743.5,1,3492,10061,4069.7274,3013.6989,76.4634,22.9602,28.4211,20.9302,13.5247,17.3194,26.4772,7.769,8.6895,47.0863,12.2888,23.0014,8.758,0.047086,2.5897,19.4937,11.4741,11.5537
1,I,12262.0,16-Mar-2022 14:32:30,0.078301,0.073446,0.93799,43789.5869,0.34665,17.9065,228.6863,,,147931.0429,3.3782,243.804,272,94.6744,140.4833,94,0,39,144,62.2099,47.6168,1,0.26317,0.47926,0.196,0.001,0.059,0.414,0.23979,0.23998,18938,6654.393,5357.1485,6491.5,1,3358,9725,3954.4498,2949.211,98.0825,26.8645,33.1413,24.6049,16.0025,20.3808,30.8182,8.9436,10.1603,47.0863,12.0642,22.4208,8.758,0.047086,2.6368,19.0229,11.1783,11.3362
