Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Removed,Cross Mean (RMSE and MAE)
B8,combinatoric,LGBMRegressor,0.17945451788631367,0.09800530164875013,46723854448457.52,98.56471325049866,0.23779099204028928,0.10495317595536535,[0.62010511 0.62010511 0.62010511 ... 0.62919462 0.62225796 0.62225796],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816,(-) B_Biofilm_Height,0.20862275496330146
B18,combinatoric,LGBMRegressor,0.16440194405286593,0.1593951073961976,0.41212848146500564,0.6746496587375788,0.22869916917508976,0.05669443542251984,[0.79913925 0.79913925 0.79913925 ... 0.62227201 0.614276   0.614276  ],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816,(-) B_Biofilm_Height,0.19655055661397786
C5,combinatoric,LGBMRegressor,0.1421741899445796,0.1406110405221891,0.32708701369380283,0.5689353426998451,0.19492066856357557,0.18183502904806825,[0.74470266 0.74470266 0.74470266 ... 0.74689884 0.75116401 0.75116401],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816,(-) B_Biofilm_Height,0.16854742925407756
E.ce,combinatoric,LGBMRegressor,0.10369852165397885,0.16993703229508794,0.16958645365532155,0.6563194367152884,0.13943914102851218,0.46380467290787464,[0.93001296 0.93001296 0.93001296 ... 0.40458641 0.40458641 0.40458641],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160,(-) B_Biofilm_Height,0.12156883134124552
E.co,combinatoric,LGBMRegressor,0.18169093293324504,0.2788100466921677,0.5180129424786828,1.5274202810990427,0.24427815097092495,0.26772784072952704,[0.95498826 0.95498826 0.95498826 ... 0.37441097 0.3735756  0.3735756 ],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160,(-) B_Biofilm_Height,0.212984541952085
S.en,combinatoric,LGBMRegressor,0.18462258773984588,0.15718494560250681,37958308901338.695,55.383991433308374,0.24097591301612883,0.1352992640246602,[0.44738238 0.43347386 0.44738238 ... 0.19680986 0.19816588 0.19680986],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160,(-) B_Biofilm_Height,0.21279925037798736
S.au,combinatoric,LGBMRegressor,0.12982467262050243,0.18713820015455562,0.18853862879658795,0.4941748915839535,0.17429762727325337,0.27293091949745474,[0.95006331 0.9470807  0.94913028 ... 0.48367109 0.51327899 0.51327899],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540,(-) B_Biofilm_Height,0.15206114994687792
1167_x_E.ce,combinatoric,LGBMRegressor,0.08626385242240911,0.11481453959833961,0.11382773648074673,0.08742517022991453,0.10219941505345374,0.5930283378475788,[0.57046456 0.57046456 0.56002755 ... 0.898864   0.89639481 0.898864  ],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296,(-) B_Biofilm_Height,0.09423163373793142
1167_x_E.co,combinatoric,LGBMRegressor,0.11911103870235197,0.21846707532258994,0.19873102875901277,0.13968299590302205,0.14244940895277694,0.7870276741389034,[0.41341338 0.41341338 0.41341338 ... 0.68946808 0.68837228 0.68837228],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]",1296,(-) B_Biofilm_Height,0.13078022382756446
1167_x_S.en,combinatoric,LGBMRegressor,0.22989284302674592,0.21206914843977048,0.27628729421152465,0.16022720294195902,0.2473114098694888,-0.03881186079324883,[0.38748508 0.38748508 0.38748508 ... 0.73462545 0.73165175 0.73462545],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]",1296,(-) B_Biofilm_Height,0.23860212644811735
1167_x_S.au,combinatoric,LGBMRegressor,0.15551178322878095,0.21404566779046583,0.2675141551496615,0.47281319445891057,0.18724082882398338,0.2742096403307227,[0.94991629 0.96852422 0.97143487 ... 0.77167343 0.77766517 0.77766517],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",1224,(-) B_Biofilm_Height,0.17137630602638215
1202_x_E.ce,combinatoric,LGBMRegressor,0.14352602933264047,0.16037002274680628,0.4804032932304064,0.9686787195890104,0.199238618979228,0.2163722505609178,[0.64478557 0.64478557 0.64478557 ... 0.8426525  0.84058528 0.8426525 ],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]",1296,(-) B_Biofilm_Height,0.17138232415593424
1202_x_E.co,combinatoric,LGBMRegressor,0.10631101194844565,0.19144871609972436,0.23475638450499653,0.15308441653229682,0.1315356237189348,0.5279566752799159,[0.26890886 0.26915712 0.26890886 ... 0.71338674 0.71017026 0.71017026],"[[0.43239395]
 [0.43239395]
 [0.43239395]
 ...
 [0.39794357]
 [0.48052866]
 [0.38356225]]",1296,(-) B_Biofilm_Height,0.11892331783369023
1202_x_S.en,combinatoric,LGBMRegressor,0.20867576732686055,0.14885866086900962,1.0781315493323547,1.4446254916057584,0.250788712794611,-0.4953188740168166,[0.35973258 0.35777726 0.35777726 ... 0.67376366 0.67473028 0.69307247],"[[0.30539326]
 [0.36968642]
 [0.06283783]
 ...
 [0.34203753]
 [0.77984246]
 [0.24694186]]",1296,(-) B_Biofilm_Height,0.22973224006073578
1202_x_S.au,combinatoric,LGBMRegressor,0.16234008417588972,0.12259177418754497,0.2072841916578981,0.2328903144485872,0.20315496601609273,-0.44106611598565704,[0.87001372 0.84681653 0.88952077 ... 0.67821646 0.71539487 0.71298078],"[[0.64477475]
 [0.64477475]
 [0.83061693]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",1224,(-) B_Biofilm_Height,0.18274752509599124
1218_x_E.ce,combinatoric,LGBMRegressor,0.08403517707003336,0.0938004315814297,0.1481928581927632,0.1610394229371013,0.11111478960528857,0.515585840633584,[0.64554151 0.64554151 0.64554151 ... 0.5426324  0.54015244 0.5426324 ],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.70814178]
 [0.49685288]
 [0.70814178]]",1296,(-) B_Biofilm_Height,0.09757498333766096
1218_x_E.co,combinatoric,LGBMRegressor,0.1051594349265783,0.23430841760945992,0.5656612772653586,0.9761855168845982,0.1459807936202878,0.7916594719357593,[0.37365056 0.37365056 0.37365056 ... 0.24555002 0.246234   0.246234  ],"[[0.39638506]
 [0.39638506]
 [0.31444566]
 ...
 [0.4988302 ]
 [0.21605889]
 [0.21605889]]",1296,(-) B_Biofilm_Height,0.12557011427343304
1218_x_S.en,combinatoric,LGBMRegressor,0.17968794691981457,0.13798018465499057,1.7090217595207722,2.427013352409259,0.22514932534757048,0.30275723629566986,[0.42658158 0.42658158 0.41094907 ... 0.39835179 0.39893156 0.39835179],"[[0.26105455]
 [0.39324875]
 [0.05213942]
 ...
 [0.43190293]
 [0.07405875]
 [0.07405875]]",1296,(-) B_Biofilm_Height,0.20241863613369254
1218_x_S.au,combinatoric,LGBMRegressor,0.0845074813758347,0.12322910213693603,0.12455272370593104,0.244988341182675,0.1067779736469916,0.4870784940661075,[0.89874857 0.87987157 0.90587375 ... 0.4909084  0.4831832  0.49201457],"[[0.94207013]
 [0.94207013]
 [0.9439279 ]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",1224,(-) B_Biofilm_Height,0.09564272751141314
1219_x_E.ce,combinatoric,LGBMRegressor,0.12815748561908918,0.15792287006217776,0.38167714401194425,0.42628618900684034,0.1716539621029464,0.5909918791461394,[0.52341687 0.52341687 0.52341687 ... 0.67510154 0.66400805 0.67510154],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.70538468]
 [0.70538468]
 [0.70538468]]",1296,(-) B_Biofilm_Height,0.1499057238610178
1219_x_E.co,combinatoric,LGBMRegressor,0.07847354380307509,0.23024233790260995,0.26669507731212305,0.41106454521879937,0.11435802742161563,0.8290126056876084,[0.3867256  0.3867256  0.3867256  ... 0.60465483 0.60768759 0.60768759],"[[0.39525584]
 [0.43337528]
 [0.43337528]
 ...
 [0.40858063]
 [0.16723032]
 [0.40858063]]",1296,(-) B_Biofilm_Height,0.09641578561234536
1219_x_S.en,combinatoric,LGBMRegressor,0.18111745163223503,0.12811873145756855,357672966199598.1,119.83309219910684,0.2708089115683255,-0.46666178402155856,[0.38165326 0.38165326 0.38165326 ... 0.59933005 0.60084007 0.59933005],"[[0.20122971]
 [0.56709756]
 [0.20122971]
 ...
 [0.56174631]
 [0.56174631]
 [0.37172853]]",1296,(-) B_Biofilm_Height,0.22596318160028026
1219_x_S.au,combinatoric,LGBMRegressor,0.06104742148093461,0.15434177739810478,0.10149645074207302,0.3319178178297843,0.07415269605678569,0.8205926398618355,[0.90245911 0.88592846 0.90388968 ... 0.61608598 0.61838852 0.61838852],"[[0.94551738]
 [0.92080653]
 [0.94551738]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",1224,(-) B_Biofilm_Height,0.06760005876886015
1234_x_E.ce,combinatoric,LGBMRegressor,0.08697401341708581,0.0966739674560407,0.13719007063689187,0.18019694263711547,0.11564694776160384,0.6228434475488691,[0.65170108 0.65170108 0.62696674 ... 0.48284473 0.48055722 0.48284473],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.38589281]
 [0.38589281]
 [0.72069034]]",1296,(-) B_Biofilm_Height,0.10131048058934483
