Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Removed,Cross Mean (RMSE and MAE)
1167,combinatoric,LGBMRegressor,0.22594644965118124,0.14156577903626372,0.2894312616774804,0.17023771517605651,0.29260811091683653,-0.44374557561942884,[0.54390528 0.53397703 0.57888982 ... 0.77440868 0.78152336 0.78152336],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112,(-) B_Biofilm_Height,0.25927728028400887
1202,combinatoric,LGBMRegressor,0.17067215179411668,0.1986779611355167,0.5624664427404961,2.103609403959513,0.22820449152729064,0.1361564895670906,[0.82503764 0.80377194 0.80377194 ... 0.85090346 0.84772797 0.84772797],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112,(-) B_Biofilm_Height,0.19943832166070366
1218,combinatoric,LGBMRegressor,0.1514928476398619,0.17280862401217983,0.8580515408968016,2.6235889017009364,0.2236658261182749,0.32700982114994215,[0.69052304 0.67999046 0.67999046 ... 0.46513529 0.46697165 0.46697165],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112,(-) B_Biofilm_Height,0.18757933687906841
1219,combinatoric,LGBMRegressor,0.13000828571912595,0.15776154260247677,90042011668277.7,84.75253339084527,0.20081485723538867,0.37027383663124247,[0.51263206 0.51263206 0.51263206 ... 0.88024136 0.87985978 0.87985978],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112,(-) B_Biofilm_Height,0.16541157147725732
1234,combinatoric,LGBMRegressor,0.23155895239403823,0.19102252766337233,81959379577678.4,111.38028013977106,0.33945611941861825,-0.43672588552613534,[0.69839763 0.67896592 0.68722761 ... 0.52134914 0.51103009 0.51103009],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112,(-) B_Biofilm_Height,0.28550753590632827
1273,combinatoric,LGBMRegressor,0.1520861293546969,0.10479684527824265,0.2222550151045873,0.27228692105435504,0.21877468732621888,0.10133284916963226,[0.647893   0.64823708 0.64823708 ... 0.66086627 0.65987481 0.65987481],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112,(-) B_Biofilm_Height,0.18543040834045788
1298,combinatoric,LGBMRegressor,0.13823010158437044,0.11655277685744568,0.3372197006163398,0.37088528640533674,0.19417698043187506,0.285305408444527,[0.59109325 0.58299815 0.58299815 ... 0.45285452 0.45360191 0.45360191],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112,(-) B_Biofilm_Height,0.16620354100812273
1339,combinatoric,LGBMRegressor,0.20476532517190757,0.2621061505605331,0.8411203545846387,2.000204837479079,0.272848430921707,0.05105754105589777,[0.89018935 0.88304219 0.88304219 ... 0.64456481 0.64686308 0.64686308],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112,(-) B_Biofilm_Height,0.23880687804680728
11285,combinatoric,LGBMRegressor,0.13126039661230382,0.09211512212519404,0.1673865536834837,0.26633813753619373,0.17301859127263663,0.40043428691999894,[0.65824943 0.6474723  0.64376199 ... 0.8228365  0.82619653 0.82619653],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,(-) B_Biofilm_Height,0.15213949394247023
11457,combinatoric,LGBMRegressor,0.12435868329568271,0.18113304046441464,0.16310610825172261,0.6659820769839017,0.1609533203351478,0.4039339461703013,[0.91878707 0.90487036 0.90487036 ... 0.8169791  0.8274684  0.8274684 ],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094,(-) B_Biofilm_Height,0.14265600181541527
