Permutation,Weighted diff_RMSE,Weighted diff_MAE,Weighted RMSE,Weighted MAE,Unweighted diff_RMSE,Unweighted diff_MAE,Weighted Cross Mean,Weighted diff Cross Mean
B_Biofilm_Density,0.003488078501249715,0.003669061997262119,0.20978710828887887,0.15818987907032023,0.00040038491611659046,0.0009174999582401181,0.18398849367959955,0.003578570249255917
B_Biofilm_Height,0.0010280033849852258,0.0014780514991648605,0.2073270331726144,0.15599886857222298,0.00011649202763093975,0.0005398006900786355,0.18166295087241868,0.0012530274420750431
B_Biofilm_SubstratumCoverage,0.0019766949256295866,0.002310885934034377,0.20827572471325873,0.15683170300709245,0.0007419061169149345,0.001167503636963822,0.1825537138601756,0.002143790429831982
B_Biofilm_Volume,0.006554213486728393,0.006344032310729363,0.21285324327435753,0.1608648493837875,0.0015647338385725664,0.002050585408316642,0.18685904632907252,0.006449122898728878
B_Fake_Score,0.0010911587514205513,0.0017951268518245735,0.2073901885390497,0.15631594392488268,0.000319563539236104,0.000918846355614324,0.18185306623196618,0.0014431428016225623
Modele,0.0774379976226771,0.06930275562940971,0.28373702741030626,0.22382357270246783,0.06730510970077323,0.06274933473533678,0.2537803000563871,0.0733703766260434
P_Biofilm_Height,0.025771855811907867,0.021834431691122855,0.232070885599537,0.17635524876418093,0.014186668243018319,0.01227676813770578,0.20421306718185897,0.023803143751515363
diff_B_Biofilm_Height_B_Biofilm_Roughness,0.0013242946910112432,0.0013977004294757225,0.20762332447864035,0.15591851750253385,0.0009333144422546265,0.0009801780930758252,0.18177092099058711,0.0013609975602434828
diff_B_Biofilm_Roughness_P_Biofilm_Height,0.007508543433124905,0.006694081899109144,0.21380757322075405,0.1612148989721673,0.002539879778583197,0.0023267688509722648,0.18751123609646067,0.007101312666117025
power_B_Biofilm_Volume_3,0.0012341929180965216,0.0013462792024532713,0.20753322270572563,0.15586709627551137,5.9416290322439925e-05,0.00028823892731518434,0.18170015949061852,0.0012902360602748963
prod_B_Biofilm_Height_B_Biofilm_SubstratumCoverage,0.0031062008376665927,0.003398978790607538,0.20940523062529573,0.1579197958636656,0.0016392337185811836,0.002135675840149603,0.18366251324448069,0.0032525898141370652
prod_B_Biofilm_Height_B_Biofilm_Volume,0.0026312956455033787,0.0035142547607100675,0.20893032543313253,0.15803507183376816,0.0008610115362325932,0.001658161858097745,0.18348269863345035,0.003072775203106723
prod_B_Biofilm_SubstratumCoverage_B_Biofilm_Volume,0.0019112689399876487,0.002101670081396419,0.20821029872761676,0.15662248715445454,0.0012975948386521729,0.0013645262120980117,0.18241639294103565,0.002006469510692034
