Removed,Weighted Cross Mean (RMSE and MAE),Unweighted Mean (RMSE and MAE)
(-) B_Biofilm_Height,0.1657141316223497,0.14905641115744758
(-) B_Biofilm_Roughness,0.15830173262934533,0.1414739342769623
(-) B_Biofilm_SubstratumCoverage,0.15868524160056122,0.14209201374175676
(-) B_Biofilm_Volume,0.1675074970338954,0.15222868863995603
(-) I,0.1574586525611447,0.1404919259004939
(-) III,0.1571732622501103,0.14030862122226326
(-) P_Biofilm_Height,0.17682157194805287,0.15003718368170096
(-) P_Biofilm_Volume,0.15839528492596402,0.1414611133823444
