Permutation,Weighted diff_RMSE,Weighted diff_MAE,Weighted RMSE,Weighted MAE,Unweighted diff_RMSE,Unweighted diff_MAE,Weighted Cross Mean,Weighted diff Cross Mean
B_Biofilm_Density,0.005026015883054372,0.005054079960148096,0.21264854304658082,0.16070885047877273,0.0009164454481702356,0.0014054204941223896,0.1866786967626768,0.0050400479216012335
B_Biofilm_SubstratumCoverage,0.0026103001248483303,0.0028349096762303244,0.21023282728837475,0.158489680194855,0.0012072478672446485,0.0014952392989563091,0.18436125374161488,0.002722604900539327
B_Biofilm_Volume,0.0071909685436540634,0.00679555344043281,0.2148134957071805,0.16245032395905742,0.0014638674313482696,0.0020746260393762995,0.18863190983311895,0.006993260992043436
B_Fake_Score,0.0016358032704741326,0.0021163836870564533,0.20925833043400055,0.15777115420568108,0.0004763594716896168,0.0009669745061403424,0.18351474231984083,0.001876093478765293
Modele,0.07637003905975427,0.0685844731281899,0.28399256622328073,0.22423924364681452,0.06664864277406356,0.06259214237503202,0.25411590493504765,0.07247725609397208
P_Biofilm_Height,0.02622784145824329,0.022129730872246463,0.23385036862176978,0.17778450139087107,0.014530416040788351,0.012484096325334872,0.20581743500632044,0.024178786165244874
diff_B_Biofilm_Height_B_Biofilm_Roughness,0.0016173429659087856,0.0016210542667292275,0.20923987012943523,0.15727582478535385,0.0011653319411133376,0.0011530467217579312,0.18325784745739454,0.0016191986163190065
diff_B_Biofilm_Roughness_P_Biofilm_Height,0.007815692060144997,0.006734387725877443,0.21543821922367148,0.16238915824450206,0.002801197934277262,0.002430264446469463,0.18891368873408676,0.00727503989301122
power_B_Biofilm_Volume_3,0.0015368111330455432,0.001483954780720797,0.20915933829657202,0.15713872529934542,0.0002952016021525515,0.00037187688291395087,0.18314903179795872,0.0015103829568831701
prod_B_Biofilm_Height_B_Biofilm_SubstratumCoverage,0.0029932784547404613,0.0032842321562210723,0.21061580561826693,0.1589390026748457,0.0013520031723848374,0.0018447999731863922,0.1847774041465563,0.0031387553054807666
prod_B_Biofilm_Height_B_Biofilm_Volume,0.0023425104796966625,0.0031735157895959277,0.2099650376432231,0.15882828630822055,0.0006476752191650463,0.0014890913472813032,0.18439666197572183,0.002758013134646295
prod_B_Biofilm_SubstratumCoverage_B_Biofilm_Volume,0.0013431514782423933,0.001645458635321936,0.20896567864176885,0.15730022915394654,0.0008733241250916631,0.0010762707064101247,0.1831329538978577,0.0014943050567821645
