Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Removed,Cross Mean (RMSE and MAE)
1167,combinatoric,LGBMRegressor,0.22538957614251243,0.145443537822107,0.28975983356229085,0.16842158404961238,0.29112793488274774,-0.4291759690072863,[0.53781685 0.53781685 0.58960614 ... 0.78153532 0.78455473 0.78455473],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112,(-) B_Biofilm_Height,0.2582587555126301
1202,combinatoric,LGBMRegressor,0.16560400673738543,0.18179638590672761,0.554960794281272,1.9954549738266203,0.22349716482930493,0.17142707939607127,[0.7866255  0.7866255  0.7866255  ... 0.831518   0.83160049 0.83160049],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112,(-) B_Biofilm_Height,0.19455058578334516
1218,combinatoric,LGBMRegressor,0.15665442378309483,0.16732839269232372,0.8889016890603674,2.5598194482907646,0.23211160160411962,0.27522508054017025,[0.67569733 0.67569733 0.67569733 ... 0.51500956 0.50282303 0.50282303],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112,(-) B_Biofilm_Height,0.19438301269360722
1219,combinatoric,LGBMRegressor,0.1311368437857828,0.15605594788558258,90855831050560.77,87.12024802575961,0.2013795849050464,0.366727048979716,[0.52694754 0.52694754 0.52694754 ... 0.85327633 0.8554298  0.8554298 ],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112,(-) B_Biofilm_Height,0.1662582143454146
1234,combinatoric,LGBMRegressor,0.2518436995730276,0.17984972835885346,89567048938473.3,107.65060628799881,0.3623017070247686,-0.6366182614200435,[0.67500483 0.67500483 0.69429894 ... 0.4993593  0.49544431 0.49544431],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112,(-) B_Biofilm_Height,0.30707270329889813
1273,combinatoric,LGBMRegressor,0.15449974695487942,0.11268592048698473,0.22584453398546825,0.2633353631637373,0.223215605081025,0.06447837793860223,[0.63466884 0.63466884 0.63466676 ... 0.66579882 0.66821008 0.66821008],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112,(-) B_Biofilm_Height,0.18885767601795223
1298,combinatoric,LGBMRegressor,0.13758223350707627,0.11668090181958111,0.334995420806706,0.37043237059627104,0.19259754746999075,0.2968847555064882,[0.59068638 0.59068638 0.59068638 ... 0.46670818 0.46040075 0.46040075],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112,(-) B_Biofilm_Height,0.1650898904885335
1339,combinatoric,LGBMRegressor,0.20740693775926747,0.25767049217074345,0.8588680689606584,1.9748211481940392,0.2769434294914521,0.022359713740397247,[0.88023374 0.88023374 0.88023374 ... 0.63766776 0.6399552  0.6399552 ],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112,(-) B_Biofilm_Height,0.24217518362535978
11285,combinatoric,LGBMRegressor,0.1370832360669753,0.09391659502219306,0.1730616623290319,0.28969695267969386,0.1789569577325755,0.35857124952888286,[0.67631116 0.67631116 0.67631116 ... 0.81538622 0.81961852 0.81961852],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668,(-) B_Biofilm_Height,0.15802009689977542
11457,combinatoric,LGBMRegressor,0.11625523704704004,0.16195615791565193,0.1543930020554857,0.6193745336980672,0.14973520429627257,0.4841275350114954,[0.87895188 0.87895188 0.87895188 ... 0.81618611 0.82020576 0.82020576],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094,(-) B_Biofilm_Height,0.1329952206716563
12001,combinatoric,LGBMRegressor,0.17340686901753793,0.0894600302193764,0.26076365217154035,0.6797714853456925,0.25287576560965025,-0.5439959799303995,[0.62932453 0.62932453 0.62932453 ... 0.83531591 0.83771248 0.83771248],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094,(-) B_Biofilm_Height,0.2131413173135941
12048,combinatoric,LGBMRegressor,0.13595992826046058,0.12100658137929138,0.33061634255627786,2.1535007548861973,0.17101749903642335,0.515307712412984,[0.72761503 0.72761503 0.72761503 ... 0.73971299 0.73971299 0.73971299],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668,(-) B_Biofilm_Height,0.15348871364844197
12701,combinatoric,LGBMRegressor,0.16709521967341712,0.15393318073517473,0.4709541034898476,0.6284051157589712,0.22984948144381065,0.17015154085966877,[0.53743887 0.53787639 0.53850549 ... 0.8385932  0.85143118 0.85143118],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668,(-) B_Biofilm_Height,0.1984723505586139
12832,combinatoric,LGBMRegressor,0.12373121419082014,0.1828451802117284,0.3183063903015389,1.0827484431452958,0.17629286256102225,0.4533393530397227,[0.82046218 0.82046218 0.82046218 ... 0.79214504 0.7911334  0.7911334 ],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668,(-) B_Biofilm_Height,0.1500120383759212
B1,combinatoric,LGBMRegressor,0.11607435232407648,0.15328927669961667,0.16834222539878535,0.43593500606099256,0.1675257322577929,0.3474874961992642,[0.84163446 0.84163446 0.84163446 ... 0.6754206  0.67241733 0.67241733],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816,(-) B_Biofilm_Height,0.14180004229093468
