,Unnamed: 0,Collection,Ncells,Timepoint,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,II,7063.0,09-Mar-2022 15:55:00,0.058236,0.053419,0.91729,44939.673,0.39822,13.3419,229.0989,,,67545.3294,1.503,249.7566,293,81.7494,136.3099,73,1,26,129,61.352,49.7634,1.0,0.20837,0.4123,0.143,0.001,0.038,0.321,0.20721,0.22269,20088,3996.7553,3507.1201,3867.0,1,1926.25,5783.75,2505.2844,1814.9199,105.0096,43.3043,52.4084,41.4359,25.5248,34.277,50.1613,11.6505,11.6538,46.38,9.5633,19.2933,6.4508,0.047086,1.6598,14.7851,9.647,10.4957
1,1,II,7650.0,09-Mar-2022 15:55:00,0.053914,0.05049,0.93648,45028.6551,0.35072,12.4926,231.7123,,,73591.0206,1.6343,247.4287,280,82.0835,134.6565,72,1,29,129,60.122,49.0729,0.975,0.20927,0.40659,0.14,0.001,0.043,0.332,0.20374,0.21688,17693,4239.0817,3639.1252,4056.5,1,2053.0,6201.0,2649.0868,1948.7857,109.4852,45.2641,54.4754,43.1106,26.5199,35.8372,52.2063,12.32,12.4899,45.7679,9.6197,19.0439,6.2625,0.047086,1.8835,15.256,9.5221,10.2401
2,1,II,5066.0,09-Mar-2022 15:55:00,0.06339,0.061381,0.96831,40850.837,0.24976,14.226,224.4205,,,33559.6699,0.82152,231.7654,258,65.3371,119.2168,51,1,20,100,53.6281,51.7624,0.966,0.14281,0.31147,0.087,0.001,0.026,0.208,0.15555,0.19699,18316,3517.6068,2944.2649,3337.5,1,1548.0,4954.0,2432.1989,1747.8289,94.5448,34.9016,42.6318,32.9448,21.0077,27.3347,40.0409,10.0408,11.0142,45.4854,6.6245,14.6148,3.9552,0.047086,1.1772,9.6527,7.2761,9.2847
3,1,II,5710.0,09-Mar-2022 15:55:00,0.077137,0.066016,0.85583,42764.0972,0.51726,16.6514,215.868,,,35888.134,0.83921,252.2326,287,65.2928,117.5845,52,1,21,99,52.9344,52.2415,0.937,0.13625,0.28259,0.088,0.001,0.029,0.2,0.14116,0.17371,21233,3482.4135,2861.4985,3245.5,1,1631.0,4846.0,2463.1052,1752.7061,88.6096,35.4617,42.7665,33.7317,21.5062,28.3237,40.5079,9.5311,10.3498,44.1199,6.2851,13.252,3.9552,0.047086,1.2713,9.1347,6.6178,8.201
0,1,II,7596.0,10-Mar-2022 15:55:26,0.058938,0.063484,1.0771,43698.1349,0.37161,14.4283,244.8055,,,65687.5869,1.5032,227.2751,289,79.2038,134.9377,69,1,24,125,60.5646,50.5437,0.955,0.18758,0.37477,0.125,0.001,0.033,0.292,0.18796,0.20381,19116,4419.2395,3441.4087,4213.5,1,2153.5,6350.5,2777.7256,1957.2132,108.8473,29.0585,35.5979,26.8555,17.5111,22.4285,33.2468,9.1446,10.3454,44.3553,8.6477,17.5638,5.6739,0.047086,1.5068,13.4196,8.7815,9.614
1,1,II,5978.0,10-Mar-2022 15:55:26,0.044942,0.060586,1.3481,47341.5534,0.67062,12.8112,285.0584,,,49284.2304,1.041,211.4554,264,78.9622,132.2779,68,1,27,124,58.9856,50.376,0.955,0.18107,0.34633,0.127,0.001,0.038,0.278,0.17445,0.18855,20980,3506.4716,2636.1676,3297.5,1,1651.0,4956.0,2315.2878,1709.6049,98.0944,29.202,35.2818,27.1731,17.0042,22.6823,33.4096,9.168,10.1434,44.9674,8.2443,16.1691,5.6033,0.047086,1.6951,12.6662,8.0836,8.9026
2,1,II,9661.0,10-Mar-2022 15:55:26,0.085314,0.038441,0.45058,64578.7002,0.89274,16.4212,192.4799,,,137500.1113,2.1292,427.1832,322,100.0042,141.0524,104,1,45,150,61.9469,45.9855,1.0,0.30955,0.5331,0.247,0.001,0.075,0.494,0.26333,0.24443,30584,5135.0353,4030.8216,4922.0,1,2479.75,7391.25,3283.1719,2232.4331,105.2318,34.5448,41.9136,32.1025,19.5084,26.6364,39.8888,10.8314,11.6981,47.0863,14.2325,24.9804,11.1124,0.047086,3.296,22.8369,12.3687,11.5724
3,1,II,4692.0,10-Mar-2022 15:55:26,0.048539,0.056932,1.1729,45463.9564,0.5226,12.6478,260.5681,,,25874.8107,0.56913,222.155,259,58.6304,109.3672,45,1,19,89,49.4061,51.5534,0.905,0.12038,0.25892,0.074,0.001,0.024,0.173,0.13119,0.16762,32408,3595.6654,3092.8103,3393.5,1,1675.5,5055.5,2467.6541,1819.2717,91.8578,28.5868,35.1179,26.61,17.4133,22.45,32.3657,8.6749,10.0579,41.2005,5.5147,12.081,3.3431,0.047086,1.083,7.9105,6.0182,7.8443
0,1,II,7813.0,10-Mar-2022 18:19:14,0.061212,0.079685,1.3018,45220.1765,0.64023,16.7582,273.7725,,,63239.712,1.3985,210.3064,288,75.8709,131.955,63,1,23,121,59.4694,51.5336,0.955,0.176,0.35998,0.113,0.001,0.032,0.27,0.18045,0.20537,21135,4930.101,4242.8077,4728.0,1,2712.75,6953.25,3022.8323,2203.003,108.5576,35.4579,43.0756,33.1808,21.5001,27.8981,40.5042,10.2181,11.1305,44.6378,8.0942,16.8598,5.1324,0.047086,1.4597,12.4308,8.4237,9.687
1,1,II,7916.0,10-Mar-2022 18:19:14,0.071175,0.09451,1.3278,46359.1739,0.65791,19.9263,279.9608,,,62917.5005,1.3572,210.8378,274,73.6143,130.6622,60,1,22,117,58.9398,52.2315,0.981,0.17426,0.36543,0.107,0.001,0.031,0.262,0.18428,0.21279,30161,7148.1252,6549.5309,6863.5,1,4764.0,9159.5,3099.9834,2134.91,87.8587,31.2688,38.1342,29.3284,19.027,24.5391,35.8315,9.0244,9.6615,46.1917,7.9481,17.0598,4.8028,0.047086,1.3655,11.9128,8.5106,10.0117
