,Unnamed: 0,Collection,Ncells,Timepoint,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,Delaporte,37087.0,04-May-2022 10:55:18,100,6.833,16.3296,0,0,0,0,24.8035,36.4705,0.36859,0.33208,0.90095,42287.1373,0.43392,81.18,220.2467,,,33044.465,0.96671,704651.361,21.3243,244.4607,306,72.4655,85.3478,62,0,19,116,58.324,61.9291,1,0.41498,0.76573,0.26,0.001,0.056667,0.83,0.3815,0.28004,64848,22563.6059,11211.9704,18850.0,1,9273.25,33362.75,16382.8391,10365.6807,117.2172,18.0954,31.1462,9.656,5.1029,7.0806,22.4679,17.581,20.6457,47.0863,19.0,35.8523,11.1124,0.047086,2.4956,38.6108,17.8942,13.3647
1,1,Delaporte,26134.0,04-May-2022 10:55:18,100,9.6738,17.2467,0,0,0,0,29.0118,37.2168,0.26762,0.23546,0.87983,39742.4841,0.47529,56.4673,210.9999,,,32966.0972,0.96442,666358.1535,20.2134,239.8186,304,78.8768,84.6964,73,0,19,126,63.154,63.7556,1,0.55742,0.83888,0.697,0.001,0.102,0.953,0.39635,0.2224,50932,14055.3511,8569.6037,13068.5,1,6534.0,19914.0,9347.7316,5543.1461,112.5125,18.075,26.1503,10.4791,4.9012,6.1807,27.0068,15.4905,15.9868,47.0863,25.4977,39.2662,30.5119,0.047086,4.4732,44.5907,18.7371,10.7769
2,1,Delaporte,24493.0,04-May-2022 10:55:18,100,10.2257,16.1285,0,0,0,0,29.6233,36.1374,0.20925,0.19684,0.94069,41893.3473,0.33925,46.8727,224.002,,,32658.7547,0.95543,700237.0213,21.441,238.124,319,86.0111,88.9901,85,0,23,137,66.2753,66.0418,1,0.62548,0.85795,0.81,0.001,0.211,0.971,0.38159,0.20567,40412,12795.7794,8727.4527,12247.0,1,6123.75,18400.25,8111.1749,5442.4356,117.2277,17.363,23.5135,11.7633,4.4001,5.984,24.7847,14.3466,14.7576,47.0863,28.5893,40.1519,36.7744,0.047086,8.5697,45.5795,18.1819,10.0412
3,1,Delaporte,25847.0,04-May-2022 10:55:18,100,9.7157,14.9636,0,0,0,0,28.9743,35.0637,0.17571,0.16894,0.96146,42255.0602,0.27496,39.9628,227.436,,,32745.207,0.95795,756044.6805,23.0887,236.5536,318,87.1422,85.8022,88,0,23,138,66.846,66.9299,1,0.63937,0.84668,0.798,0.001,0.29,0.972,0.36409,0.20524,40993,13139.6878,9676.8146,12927.0,1,6465.25,19408.75,7843.18,5796.4893,83.8362,15.2032,19.9509,10.6832,3.9717,5.4133,21.9172,12.0796,12.3719,47.0863,29.2508,39.6359,36.7744,0.047086,10.3119,45.5795,17.4294,10.0019
0,1,Delaporte,39569.0,04-May-2022 10:55:22,100,6.0783,13.0562,0,0,0,0,23.0656,32.7681,0.32664,0.31666,0.96946,42611.8748,0.24525,74.9124,229.3429,,,31361.7096,0.91748,806698.4627,25.7224,236.5677,293,88.4268,104.7728,91,0,35,133,58.7487,58.0884,1,0.44647,0.72924,0.378,0.001,0.1,0.805,0.3559,0.27121,59480,22107.5018,13368.006,20004.0,1,9893.75,32113.25,14804.608,11156.5367,125.7629,17.5824,26.6801,11.8351,4.9006,7.9826,20.9112,14.9928,17.8752,47.0863,20.3871,34.1114,16.4331,0.047086,4.379,37.0098,16.7274,12.9514
1,1,Delaporte,37997.0,04-May-2022 10:55:22,100,6.4773,14.7035,0,0,0,0,23.9186,34.5967,0.36171,0.32637,0.9023,41437.9673,0.43112,78.9212,218.1869,,,32092.577,0.93886,741537.3947,23.1062,241.8131,298,81.6699,97.525,80,0,28,126,57.7272,58.5192,1,0.42542,0.72591,0.334,0.001,0.079,0.79,0.35793,0.27301,62191,22527.1498,12962.6287,19349.0,1,9500.75,33038.5,15929.8988,11752.6785,130.3276,17.2671,27.2827,11.2091,4.7002,7.4775,20.7018,15.3426,18.4136,47.0863,19.5157,33.9951,14.5497,0.047086,3.5315,36.586,16.8102,13.004
2,1,Delaporte,24447.0,04-May-2022 10:55:22,100,10.0944,15.9878,0,0,0,0,29.3409,35.9123,0.18873,0.12965,0.68696,47783.3718,0.7267,38.5834,204.4362,,,32178.7685,0.94138,690583.2019,21.4608,297.5973,297,79.2442,77.1864,77,0,18,125,62.7194,64.1066,1,0.61692,0.84119,0.758,0.001,0.236,0.976,0.37224,0.21916,42653,12528.2085,9719.6215,12266.0,1,6154.25,18396.75,7531.55,5396.8427,123.1384,20.7702,28.1666,13.2123,5.2012,7.2046,28.8501,17.955,18.9714,47.0863,28.2482,39.3831,34.373,0.047086,9.4173,45.815,17.7357,10.6172
3,1,Delaporte,24829.0,04-May-2022 10:55:22,100,9.9199,14.9687,0,0,0,0,29.1001,34.9867,0.15406,0.17321,1.1243,42105.7663,0.45709,37.8225,245.5119,,,32116.4394,0.93956,727503.844,22.6521,218.3631,295,80.3253,77.1388,81,0,18,127,63.1608,64.2346,1,0.64003,0.84438,0.784,0.001,0.30175,0.979,0.36151,0.21046,34061,12648.1421,9835.1489,12430.0,1,6222.75,18658.25,7537.8092,5746.7675,116.6801,19.1321,25.3701,12.4919,4.5002,6.2739,26.5891,16.8393,17.8236,47.0863,29.3006,39.5344,36.021,0.047086,11.1124,45.9091,17.3167,10.2277
0,1,Delaporte,50883.0,05-May-2022 15:16:19,100,4.4736,9.257,0,0,0,0,19.6927,27.9377,0.37351,0.35119,0.94024,43224.2534,0.3405,84.965,227.4777,,,29682.2141,0.86835,1045719.6749,35.2305,241.935,320,95.3866,108.4868,100,0,42,142,61.1446,61.1764,1,0.45036,0.71168,0.398,0.001,0.12,0.782,0.34369,0.26644,67569,27865.14,19172.5728,25781.0,1,12757.25,41535.75,17871.2943,14959.7769,117.062,10.1098,14.9892,6.3791,3.4454,4.7272,10.7264,9.8452,12.3928,47.0863,20.5515,33.2879,17.4219,0.047086,5.1795,36.0681,16.1789,12.7173
1,1,Delaporte,58500.0,05-May-2022 15:16:19,100,3.5244,8.3224,0,0,0,0,17.0035,26.0217,0.38753,0.34064,0.87899,43499.1335,0.47684,85.5055,220.6416,,,26884.7066,0.78651,985982.1469,36.6745,251.0171,299,101.1241,124.9677,103,0,51,146,59.9103,55.0449,1,0.36802,0.61599,0.291,0.001,0.102,0.599,0.30226,0.27224,67598,31660.3824,23163.8435,30707.5,1,14702.5,48162.5,19312.3494,18108.5462,86.6419,6.1306,8.9478,4.3129,2.6076,3.3901,6.4799,5.3332,7.2801,47.0863,16.8544,28.8164,12.9016,0.047086,4.4261,27.5926,14.1991,12.9353
