,Unnamed: 0,Collection,Ncells,Timepoint,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biomass,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biomass,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biomass,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biomass,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biomass,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biomass,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biomass,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biomass,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biomass,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biomass,Cube_Surface_mean_biovolume,Cube_Surface_std_biovolume,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_std_biovolume,Grid_ID_mean_biovolume,Grid_ID_std_biovolume,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_std_biovolume,Shape_Volume_mean_biovolume,Shape_Volume_std_biovolume
0,1,Livestock,1813.0,06-Jan-2021 15:08:35,0.060727,0.092721,1.5268,49622.1111,0.75568,18.8614,310.5922,,,70714.8488,1.4251,203.4205,1414,425.2642,706.712,403.0,1,118.75,669.0,322.2052,271.315,0.51513,0.10661,0.19202,0.0865,0.000125,0.020875,0.16484,0.095518,0.098753,2795,941.877,602.9429,909.0,1,454.75,1363.25,580.0224,403.1672,108.0027,83.7003,90.1583,84.6898,62.0878,77.0752,90.8521,9.7827,6.8552,194.0426,39.0043,71.0709,31.6891,0.047086,7.8163,60.6118,35.3755,37.1467,,,,,,,,,,
1,1,Livestock,1603.0,06-Jan-2021 15:08:35,0.067966,0.082064,1.2074,44827.6887,0.56041,17.8423,262.5167,,,65398.5713,1.4589,217.42,1327,435.6232,627.3827,454.0,1,231.5,637.0,269.6142,215.3184,0.55833,0.11267,0.17391,0.10425,0.000125,0.04775,0.16378,0.084708,0.083614,2686,837.4429,604.6665,802.0,1,401.25,1202.75,529.2554,381.3937,83.8825,60.5583,63.9962,61.1027,44.0205,56.7902,65.0118,6.8026,5.0627,192.1121,40.7976,63.4916,38.4224,0.047086,17.163,59.8938,30.4375,30.1583,,,,,,,,,,
2,1,Livestock,1482.0,06-Jan-2021 15:08:35,0.082612,0.058511,0.70826,47807.0737,0.70595,17.153,207.6338,,,67294.4537,1.4076,293.1597,1769,470.7949,818.9261,384.0,1,153.0,759.0,375.7509,339.6199,0.60513,0.12357,0.23509,0.084125,0.000125,0.028958,0.19525,0.11724,0.1252,3166,760.7024,471.2631,742.5,1,371.0,1114.0,465.2649,320.956,78.783,55.8021,60.1882,56.0752,40.012,50.9718,60.4167,6.9295,5.3594,227.9447,45.4079,87.3401,30.9828,0.047086,10.3119,71.7595,43.6502,47.2285,,,,,,,,,,
3,1,Livestock,2399.0,06-Jan-2021 15:08:35,0.11595,0.12184,1.0508,43799.6845,0.30716,28.0687,242.0753,,,59510.4308,1.3587,230.3725,1588,289.7245,563.1831,230.0,1,79.0,420.75,256.7109,307.3043,0.537,0.068484,0.15079,0.047083,0.000125,0.013969,0.095,0.075612,0.11168,3978,1245.6582,999.6574,1206.0,1,605.25,1817.75,762.6629,539.0285,104.9133,68.2646,74.2519,67.8857,50.0279,61.5016,74.5446,9.1914,7.4852,202.2827,24.8063,55.1725,17.2336,0.047086,5.05,34.1611,27.4515,41.2359,,,,,,,,,,
4,1,Livestock,2496.0,06-Jan-2021 15:08:35,0.13697,0.14286,1.043,43738.7133,0.28426,33.01,241.0105,,,58857.4852,1.3457,231.0682,1506,274.7572,542.7697,212.0,1,74.0,410.0,247.619,292.9784,0.54825,0.064894,0.14525,0.042396,0.000125,0.012375,0.091375,0.072897,0.10599,5068,1302.7821,954.0546,1257.5,1,631.5,1899.5,806.0446,570.5818,111.6818,69.6187,75.9304,69.5555,51.0039,62.2869,75.9643,9.6044,7.7611,206.5205,23.5807,53.2199,15.4443,0.047086,4.4967,33.1487,26.4423,38.8302,,,,,,,,,,
5,1,Livestock,2609.0,06-Jan-2021 15:08:35,0.15299,0.10048,0.65677,51361.3367,0.75409,31.7064,207.2437,,,63791.7988,1.242,315.5477,1442,281.8222,578.0117,201.0,1,69.0,414.0,266.8089,307.5232,0.51225,0.067257,0.15351,0.041375,0.000125,0.011625,0.092438,0.076678,0.10298,4517,1368.6363,1117.0576,1328.0,1,675.75,1990.25,832.6324,573.9427,107.6208,74.6912,81.7739,74.3767,55.0514,66.9162,81.8419,10.0293,8.2141,192.9596,24.4507,56.3075,14.7851,0.047086,4.2378,33.6667,27.9145,37.7891,,,,,,,,,,
0,1,Livestock,2153.0,13-Jan-2021 15:15:37,0.2099,0.25902,1.234,47399.4743,0.58593,57.2808,272.8991,,,45092.7502,0.95133,221.1472,1273,198.7952,,85.0,1,23.0,284.0,249.5294,,0.7445,0.057802,,0.015125,0.000125,0.003375,0.065406,0.098938,,6052,1678.268,,1245.0,1,621.75,2268.5,1410.7792,,107.918,61.9317,,60.2027,47.0459,54.0492,67.9111,10.1715,,280.4459,20.9441,,5.462,0.047086,1.2242,23.1665,35.563,,592.7149,305.1192,0.22342,0.16691,904.0413,717.2641,74.1093,10.6507,81.3019,59.744
1,1,Livestock,1960.0,13-Jan-2021 15:15:37,0.18621,0.16794,0.90189,45112.0141,0.43197,42.3814,227.6024,,,42243.7472,0.93642,252.3629,1338,193.4561,,89.0,1,21.0,272.0,244.8868,,0.78125,0.059561,,0.016625,0.000125,0.003125,0.064875,0.10433,,4716,1369.9327,,1178.5,2,620.5,1863.5,1019.0053,,101.5494,57.9115,,56.1616,44.0111,50.4743,63.4154,9.6015,,294.2893,21.5529,,5.9329,0.047086,1.1301,23.8257,37.711,,591.9234,313.5371,0.23973,0.18083,970.4085,550.4845,69.9556,9.8986,87.5019,66.3184
2,1,Livestock,2468.0,13-Jan-2021 15:15:37,0.21109,0.25655,1.2153,44997.6492,0.56831,55.7019,263.8754,,,42192.9411,0.93767,217.1206,1433,177.3707,,86.5,1,26.0,249.0,221.3462,,0.70012,0.046409,,0.01525,0.000125,0.00375,0.050937,0.081659,,6058,1654.7439,,1416.5,1,717.5,2375.5,1203.8326,,80.3344,45.3729,,43.9784,34.8774,39.7331,49.5753,7.3981,,263.7303,17.096,,5.3208,0.047086,1.3655,18.5285,30.4801,,541.934,321.0836,0.19136,0.16594,1025.485,766.652,54.2302,8.6049,71.4163,62.6497
3,1,Livestock,2149.0,13-Jan-2021 15:15:36,0.18544,0.16223,0.87483,44567.5078,0.48443,41.318,222.8055,,,55204.578,1.2387,254.6845,1436,236.8702,,127.0,1,34.0,357.0,268.2733,,0.761,0.070033,,0.0245,0.000125,0.00525,0.092625,0.10209,,5545,1398.4449,,1276.0,1,698.75,1930.25,923.0286,,103.9777,60.492,,58.9346,45.0089,52.1652,66.8476,10.4582,,286.6613,25.6885,,8.8993,0.047086,1.8835,33.855,37.5931,,608.616,303.8713,0.21803,0.14856,1096.0726,570.2263,71.6132,10.1276,80.6775,55.4516
