,Unnamed: 0,Collection,Ncells,Timepoint,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,Delaporte,19787.0,04-May-2022 10:55:16,100,12.1739,22.2723,0,0,0,0,31.4233,40.2153,0.27688,0.21389,0.77251,45003.8302,0.635,58.2539,210.3931,,,31410.3471,0.9189,473088.3816,15.0615,272.3504,293,87.468,96.7301,95,0,33,131,58.527,58.1507,1,0.52274,0.76938,0.567,0.001,0.147,0.864,0.35931,0.23841,48612,12430.4827,7842.6651,9897.0,1,4948.25,15757.25,10374.9022,7110.6173,137.3809,19.41,27.5338,13.4887,4.6025,7.8748,25.2733,16.3311,18.1399,47.0863,23.9091,36.0124,25.1912,0.047086,6.3096,40.3059,17.0116,11.451
1,1,Delaporte,18229.0,04-May-2022 10:55:16,100,13.2182,24.815,0,0,0,0,32.5483,41.7168,0.2898,0.20749,0.71597,47710.6773,0.69813,60.4384,208.5495,,,31419.3444,0.91917,424166.5273,13.5002,291.284,300,86.6322,98.6685,94,0,32,131,58.4598,57.4602,1,0.50784,0.76746,0.546,0.001,0.12,0.857,0.36311,0.23861,48657,11860.7212,6859.3538,9131.0,1,4557.75,14717.25,10557.4162,6363.766,136.6021,19.8857,28.5505,14.2067,4.6,7.8397,25.971,16.5387,18.1541,47.0863,23.2688,35.9348,23.9669,0.047086,5.1795,40.0233,17.168,11.4568
2,1,Delaporte,24372.0,04-May-2022 10:55:16,100,9.5796,23.4744,0,0,0,0,28.0356,40.6123,0.30615,0.34132,1.1149,41331.1828,0.44215,74.1553,242.2211,,,30443.8549,0.89063,422371.2212,13.8738,217.2581,296,83.7052,109.3453,84,0,29,129,58.6959,54.0849,1,0.37894,0.68411,0.274,0.001,0.057,0.698,0.33976,0.26926,59471,18388.6254,9860.3784,12663.5,1,6095.5,28037.5,15566.3515,11523.1687,150.5439,16.9198,27.8382,9.9282,5.3013,7.0466,20.5871,15.7772,19.5778,47.0863,17.3302,32.0244,11.8657,0.047086,2.4956,32.1128,15.9582,12.8259
3,1,Delaporte,19105.0,04-May-2022 10:55:16,100,12.6767,24.8147,0,0,0,0,32.0483,41.7985,0.2826,0.27842,0.98522,41308.7827,0.17131,64.3301,227.6368,,,31580.2526,0.92387,428025.5783,13.5536,231.0522,307,86.479,100.6039,92,0,28,132,60.3996,58.5194,1,0.48885,0.76362,0.509,0.001,0.095,0.844,0.36679,0.24013,51351,13393.3764,7545.5312,9567.0,1,4777.75,17253.25,12039.4351,7454.0119,125.7822,17.1525,25.6388,11.4131,4.4021,6.2896,22.7959,14.962,16.554,47.0863,22.4039,35.7553,22.4131,0.047086,4.1436,39.4112,17.2957,11.5142
0,1,Delaporte,20232.0,04-May-2022 10:55:20,100,11.7363,24.0996,0,0,0,0,30.7778,41.106,0.24679,0.30475,1.2349,45641.7366,0.5867,66.1102,267.8832,,,30962.1774,0.90579,417450.9865,13.4826,216.9336,320,84.7627,105.9389,88,0,29,130,59.0876,55.6004,1,0.44973,0.75584,0.387,0.001,0.0735,0.84,0.37086,0.2603,53888,15420.5177,8336.2328,10215.5,1,5062.5,23412.5,13733.4906,9399.3782,113.1527,16.7767,25.8188,11.3442,4.4004,6.4987,22.1019,14.1954,15.95,47.0863,20.6332,35.4079,16.8098,0.047086,3.2019,39.1287,17.4603,12.4301
1,1,Delaporte,30687.0,04-May-2022 10:55:20,100,7.6146,16.823,0,0,0,0,25.283,35.9513,0.32256,0.32469,1.0066,42177.3844,0.11454,74.9955,232.5031,,,30469.5428,0.89138,587654.5506,19.2866,230.9729,300,80.6492,101.4493,82,0,29,122,55.5504,53.5081,1,0.41985,0.72213,0.333,0.001,0.071,0.772,0.35625,0.26915,59486,20639.6895,12781.0078,16274.0,1,7673.25,31405.75,15976.623,12588.2065,151.0713,18.2742,28.2429,13.0645,4.9016,7.6343,23.341,15.0362,17.4326,47.0863,19.15,33.7595,14.2671,0.047086,3.1077,35.6443,16.7266,12.8729
2,1,Delaporte,22181.0,04-May-2022 10:55:20,100,10.6959,23.5718,0,0,0,0,29.6086,40.9228,0.21574,0.18873,0.87481,44209.4306,0.48446,47.8742,221.9066,,,30935.8375,0.90502,430774.0521,13.9248,253.6617,331,84.3201,101.5559,89,0,34,125,55.4377,54.2253,1,0.42433,0.69909,0.363,0.001,0.091,0.747,0.34161,0.26452,40507,12829.8579,8343.0438,11179.0,1,5562.75,18412.25,9049.7891,6834.991,140.5242,19.9375,29.8644,14.7375,5.2048,8.9871,24.745,15.9548,18.843,47.0863,19.4209,32.7296,15.9152,0.047086,3.9552,34.5731,16.0773,12.6057
3,1,Delaporte,22403.0,04-May-2022 10:55:20,100,10.6533,24.2695,0,0,0,0,29.6038,41.3372,0.24651,0.27829,1.1289,43670.3155,0.4641,61.7609,250.5443,,,31120.9993,0.91044,423707.6243,13.6148,221.928,345,83.4615,106.532,86,0,31,127,57.07,53.7661,1,0.41283,0.71368,0.322,0.001,0.071,0.756,0.35285,0.26993,48668,14656.6078,8123.21,11397.0,1,5608.25,20554.75,11864.1945,8282.1619,130.8918,20.0487,30.7061,14.97,5.1003,8.9711,24.7925,15.9191,18.6037,47.0863,18.913,33.4127,13.8905,0.047086,3.1548,34.9851,16.5603,12.8601
0,1,Delaporte,43125.0,05-May-2022 15:16:16,100,5.765,12.2883,0,0,0,0,22.7304,32.1781,0.35256,0.32992,0.93579,43307.6477,0.35255,80.0871,227.1574,,,32418.566,0.9484,898273.8562,27.7086,242.7436,304,88.5559,101.7279,95,0,38,130,56.6011,56.4897,1,0.4566,0.72222,0.404,0.001,0.117,0.81,0.34919,0.26471,64878,24013.7868,16262.0335,22153.0,1,10789.75,35530.25,15680.8884,13220.3663,125.9657,15.4059,23.0856,9.8321,4.3001,6.7295,17.3001,14.4812,17.6003,47.0863,20.8295,33.7755,17.5632,0.047086,5.0853,37.3512,16.4215,12.6474
1,1,Delaporte,32505.0,05-May-2022 15:16:16,100,7.6062,16.069,0,0,0,0,25.7759,35.8725,0.35333,0.29335,0.83024,45245.4648,0.55741,77.2729,218.6974,,,32239.0113,0.94315,680073.2125,21.0947,263.4157,296,85.8516,100.096,92,0,35,127,55.8622,54.9993,1,0.45818,0.73248,0.405,0.001,0.106,0.823,0.35511,0.26109,64758,18399.5239,11709.8775,16617.0,1,8126.75,26440.25,12697.5277,9635.1959,150.0681,15.9245,24.2702,9.7025,4.2,6.5428,18.6431,15.199,18.1128,47.0863,20.9221,34.2681,17.4219,0.047086,4.6615,38.187,16.7103,12.4832
