,Unnamed: 0,Collection,Ncells,Timepoint,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,Delaporte,40787.0,04-May-2022 10:55:18,100,3.9069,9.9609,0,0,0,0,17.7884,28.4298,0.42201,0.39854,0.94438,39651.8745,0.32885,92.1475,218.354,,,20778.8017,0.60788,630504.4396,30.3436,231.2133,282,66.1896,86.2942,57,0,17,106,53.3227,56.7043,1,0.33814,0.70789,0.17,0.001,0.036,0.632,0.35397,0.29832,72942,27629.6414,15990.5824,23307.0,1,11336.25,41743.25,19542.5509,12685.4911,178.5387,16.9562,31.0791,9.6241,5.3008,6.9564,18.7355,17.8433,23.9686,47.0863,15.4585,33.1268,7.4867,0.047086,1.6009,28.6167,16.5267,14.1791
1,1,Delaporte,35593.0,04-May-2022 10:55:18,100,4.9459,11.552,0,0,0,0,20.1072,30.4256,0.32589,0.36061,1.1065,41308.3959,0.42813,78.6186,241.2449,,,22954.7133,0.67154,612460.0317,26.6812,218.017,286,68.8966,85.1602,61,0,19,110,54.4253,57.8785,1,0.37656,0.72885,0.226,0.001,0.044,0.725,0.36449,0.28767,62140,23064.8329,14620.4665,19973.0,1,10164.75,33588.25,15851.1837,10278.5661,178.0301,18.5257,32.4025,10.468,5.4006,7.1991,21.5623,18.8987,23.9878,47.0863,17.2073,34.1055,9.5585,0.047086,1.9776,33.1017,17.0523,13.7045
2,1,Delaporte,55928.0,04-May-2022 10:55:18,100,3.1615,7.0394,0,0,0,0,16.2829,24.4702,0.49503,0.51968,1.0498,40071.4696,0.3043,114.5659,231.4316,,,23056.2914,0.67451,993521.1327,43.0911,220.4564,311,74.7991,89.4693,72,0,24,115,54.6522,57.1349,1,0.38739,0.70634,0.268,0.001,0.063,0.706,0.35191,0.2874,91899,37799.2364,33116.2555,35724.0,5,15980.5,59707.5,23966.9767,24650.6341,175.65,14.0344,22.5991,8.8072,4.8002,6.5836,14.3078,14.3773,19.5398,47.0863,17.7643,33.0747,11.6774,0.047086,2.8252,32.3954,16.4919,13.6618
3,1,Delaporte,38962.0,04-May-2022 10:55:18,100,4.3177,9.9085,0,0,0,0,18.6986,28.3909,0.31656,0.34572,1.0921,40778.0556,0.40196,75.3804,238.1236,,,21936.1931,0.64174,643172.2524,29.3201,218.039,308,69.9951,85.4926,62,0,20,110,54.3468,58.0624,1,0.36035,0.71027,0.206,0.001,0.047,0.676,0.35553,0.29557,59484,24356.0146,15542.6918,21706.5,1,10979.0,36388.0,15986.1704,10995.6674,158.9889,16.2859,28.7579,9.23,4.901,6.6122,18.5163,16.6336,21.5168,47.0863,16.5077,33.2486,9.0877,0.047086,2.0718,30.8415,16.6241,14.0467
0,1,Delaporte,38868.0,04-May-2022 10:55:23,100,4.5701,9.7878,0,0,0,0,19.4489,28.3689,0.3596,0.38993,1.0843,40405.0464,0.38667,84.9332,236.1872,,,23162.0423,0.6776,733869.157,31.6841,217.8158,308,70.9954,83.1743,66,0,19,112,55.2255,58.0828,1,0.41245,0.74383,0.302,0.001,0.056,0.783,0.36978,0.27783,67571,24230.3071,17432.3434,21426.5,2,10917.5,34744.5,16466.2665,12060.1929,114.0256,12.4111,20.698,7.0972,3.533,4.6937,14.4553,12.7019,15.8007,47.0863,18.8811,34.8186,12.8546,0.047086,2.4485,36.0681,17.3472,13.2507
1,1,Delaporte,37782.0,04-May-2022 10:55:23,100,4.7366,10.5356,0,0,0,0,19.7052,29.2564,0.3535,0.38117,1.0783,38681.1567,0.37408,81.4623,230.4475,,,23335.5988,0.68268,669640.1149,28.6961,213.7163,283,70.4124,85.4988,65,0,19,111,54.9879,57.4607,1,0.38731,0.72768,0.255,0.001,0.046,0.733,0.3635,0.28247,64874,23014.5211,15195.061,20456.5,1,10225.0,33655.0,15539.9037,10534.4797,140.3978,16.3303,28.0501,9.3489,4.8,6.2472,19.0996,16.5709,20.915,47.0863,17.7238,34.0586,10.924,0.047086,2.0718,33.6196,17.0154,13.4548
2,1,Delaporte,43099.0,04-May-2022 10:55:23,100,4.1118,9.5531,0,0,0,0,18.4599,28.0495,0.47581,0.44619,0.93775,39103.483,0.3473,102.8115,216.0762,,,23107.9281,0.67602,751099.8667,32.504,230.4191,299,66.8363,79.8393,59,0,17,107,53.3576,57.5223,1,0.38179,0.73308,0.237,0.001,0.047,0.733,0.3661,0.28988,81111,31513.675,25259.7588,28597.0,1,16948.25,43165.0,19199.8301,12814.7599,130.3693,13.2454,23.0409,7.5678,3.9001,5.2132,14.5973,13.9852,18.1973,47.0863,17.4273,34.3006,9.9352,0.047086,2.0718,33.4313,17.1483,13.8199
3,1,Delaporte,40099.0,04-May-2022 10:55:23,100,4.4675,10.4332,0,0,0,0,19.1413,29.0849,0.35431,0.31839,0.89862,39000.1231,0.43873,74.8453,211.2401,,,23359.5916,0.68338,678768.9222,29.0574,235.0713,307,69.1143,82.6377,61,0,19,109,54.7002,59.2764,1,0.36947,0.72493,0.212,0.001,0.049,0.703,0.36225,0.29699,59473,24705.682,15494.023,21944.0,1,10927.25,37429.75,16282.9104,11450.8806,143.7888,12.2434,21.6952,6.8602,3.7,4.9653,13.6426,12.8601,16.7754,47.0863,16.9273,33.9438,9.3231,0.047086,2.166,32.054,16.972,14.1262
0,1,Delaporte,34258.0,05-May-2022 15:16:19,100,5.6614,10.3882,0,0,0,0,21.5608,29.2243,0.31999,0.36226,1.1321,45290.088,0.46879,81.7592,255.5052,,,25290.0987,0.73986,753553.6745,29.7964,225.6906,301,76.4623,82.0873,79,0,25,116,55.2162,58.4338,1,0.48092,0.77233,0.431,0.001,0.101,0.886,0.37553,0.26691,66096,20679.6155,14821.9952,17980.5,1,8869.0,29295.0,14799.5005,11490.3256,201.6181,20.6936,32.106,11.6141,5.4001,7.5592,24.8796,21.3067,25.6457,47.0863,21.9964,36.1358,18.6933,0.047086,4.5203,40.9651,17.6359,12.7632
1,1,Delaporte,33097.0,05-May-2022 15:16:19,100,6.015,11.0335,0,0,0,0,22.1697,29.9446,0.36394,0.25897,0.71159,47898.2634,0.7026,75.815,208.3188,,,25959.0282,0.75943,727857.2266,28.0387,292.7531,282,75.9175,80.7097,78,0,24,115,54.8945,58.2311,1,0.48032,0.76547,0.438,0.001,0.106,0.864,0.37064,0.26457,62088,19959.8758,14640.2551,17417.0,1,8469.75,28804.25,14148.1441,11278.855,197.4007,21.2592,32.7997,11.7811,5.5002,7.6564,26.1164,21.7754,26.0742,47.0863,21.9916,35.8299,19.117,0.047086,4.6615,40.1764,17.4452,12.6481
