,Unnamed: 0,Collection,Ncells,Timepoint,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,Delaporte,78917.0,04-May-2022 10:55:16,100,2.6211,6.2598,0,0,0,0,14.6858,22.7176,0.49519,0.46457,0.93817,40229.5313,0.34618,108.5523,219.2138,,,26971.9413,0.78906,1274417.0768,47.2497,233.6616,312,107.0388,135.2493,110.0,0,61.0,151,58.0509,49.3981,1,0.35107,0.56096,0.294,0.001,0.119,0.536,0.27212,0.25826,83817,40932.4924,33706.8848,40623.0,1,20139.75,61406.5,24005.9683,23944.4544,159.4643,13.5957,18.0598,11.1286,5.2002,8.0846,15.9828,8.9201,11.8265,47.0863,16.1488,26.2805,13.2783,0.047086,5.2266,24.8145,12.7913,12.2228
1,1,Delaporte,76094.0,04-May-2022 10:55:16,100,2.7047,5.7252,0,0,0,0,14.9521,21.8997,0.44422,0.42604,0.95907,42071.5799,0.28318,100.6864,226.6593,,,26836.5906,0.7851,1398418.7261,52.1087,236.3335,335,117.9197,139.7797,122.0,0,77.0,160,57.2494,49.7827,1,0.40189,0.58775,0.364,0.001,0.17,0.603,0.27338,0.24816,78412,38830.614,34372.117,38740.5,1,19350.0,58232.0,22529.0045,22378.1085,145.3605,10.1661,12.935,8.4279,3.8,6.2697,11.5374,6.8783,9.0348,47.0863,18.3775,27.4703,16.4331,0.047086,7.2984,27.8751,12.9269,11.8027
2,1,Delaporte,83437.0,04-May-2022 10:55:16,100,2.2931,4.4044,0,0,0,0,13.4938,19.0606,0.50813,0.44496,0.87567,42534.9056,0.48291,110.6563,217.7701,,,24948.723,0.72987,1514493.3985,60.7042,248.6894,345,118.2792,142.5432,123.0,0,76.0,161,57.7469,48.0802,1,0.39722,0.58045,0.364,0.001,0.167,0.6,0.26862,0.23987,86528,42929.1986,39611.6922,42751.0,1,21412.75,64455.25,24917.7482,24926.4377,177.0352,9.9069,12.3117,8.3681,3.8003,6.2595,11.4974,6.1823,7.7978,47.0863,18.1513,27.1306,16.3389,0.047086,7.11,27.828,12.7667,11.4489
3,1,Delaporte,37206.0,04-May-2022 10:55:16,100,3.7313,9.88,0,0,0,0,18.1457,28.9298,0.56722,0.51385,0.9059,40637.0894,0.42349,122.8027,216.4997,,,18102.1709,0.52958,594919.8709,32.8646,238.9877,307,76.7105,98.7755,70.0,0,22.0,120,58.8609,60.2496,1,0.3443,0.68354,0.202,0.001,0.045,0.625,0.34211,0.29403,97242,33718.6364,24894.0541,27484.0,1,13399.0,50767.0,24923.0315,22627.4663,194.4255,16.9342,28.0864,10.6777,6.0011,7.8,17.5857,17.8808,25.4432,47.0863,15.9899,32.0894,9.2289,0.047086,2.0718,28.9581,16.0448,13.9032
0,1,Delaporte,63415.0,04-May-2022 10:55:21,100,3.2667,8.6633,0,0,0,0,16.2954,26.2669,0.38654,0.38199,0.98824,39011.897,0.15294,85.6394,221.5561,,,27012.2335,0.79024,927084.0733,34.3209,224.1937,340,102.11,132.9176,104.0,0,53.0,147,58.4348,50.6971,1,0.32066,0.53624,0.253,0.001,0.102,0.486,0.26275,0.2616,67596,33037.6733,26768.2783,32804.0,1,16008.25,49867.75,19485.8485,20127.9031,139.1195,9.941,13.4286,8.429,3.5004,6.1597,11.6088,6.3164,8.6847,47.0863,14.6193,25.0398,11.2065,0.047086,4.379,22.2718,12.3427,12.423
1,1,Delaporte,60647.0,04-May-2022 10:55:21,100,3.4939,7.9323,0,0,0,0,16.9662,25.3825,0.35325,0.31615,0.895,43721.7268,0.44607,78.8484,223.2104,,,27630.0479,0.80831,1063851.9458,38.5034,249.398,317,117.9175,141.5834,123.0,0,76.0,161,57.1351,48.6248,1,0.38565,0.57005,0.342,0.001,0.163,0.577,0.26641,0.2482,62192,30826.4402,26487.8167,30788.0,1,15245.25,46311.75,17924.6984,18508.3094,109.5651,11.436,14.5683,9.8382,3.9009,7.3648,13.2229,6.8215,8.7849,47.0863,17.5417,26.5689,15.303,0.047086,6.9688,26.4625,12.5839,11.8208
2,1,Delaporte,83072.0,04-May-2022 10:55:21,100,2.8323,7.0711,0,0,0,0,15.9364,24.8824,0.70622,0.69477,0.9838,38136.0305,0.17929,154.3524,218.5623,,,30679.6101,0.89753,1434115.5014,46.7449,222.1623,302,75.3385,90.6649,67.0,0,22.0,118,58.7661,62.8942,1,0.37354,0.7178,0.228,0.001,0.057,0.709,0.35706,0.29527,118973,51940.6666,38643.5001,47259.5,1,21679.5,81241.0,34395.9144,32696.5831,153.7094,12.5467,21.103,7.7393,4.0,5.6089,12.5806,13.3002,18.1,47.0863,17.2635,33.6899,10.0765,0.047086,2.4956,32.9133,16.8399,14.006
3,1,Delaporte,67234.0,04-May-2022 10:55:21,100,3.0993,8.4921,0,0,0,0,15.9785,26.1788,0.38361,0.42298,1.1026,41541.1035,0.42129,92.6392,241.4952,,,27171.8378,0.79491,968947.9283,35.66,219.0179,309,97.1098,127.5634,98.0,0,47.0,142,58.9544,53.6856,1,0.31717,0.5503,0.24167,0.001,0.091,0.485,0.27171,0.27195,73001,35437.352,27481.2391,34961.5,1,16973.0,53706.0,21086.3757,21585.4742,159.72,14.3961,20.6984,11.6222,5.2002,8.5719,15.8939,10.7433,15.4895,47.0863,14.4116,25.6889,10.5944,0.047086,3.9082,22.0835,12.7486,12.9242
0,1,Delaporte,78309.0,05-May-2022 15:16:27,100,2.504,5.7071,0,0,0,0,14.2099,21.6897,0.50954,0.4704,0.92319,43325.2244,0.38435,114.9875,225.668,,,25569.1453,0.74802,1273745.7676,49.8157,244.4449,324,104.6539,131.9153,106.0,0,55.0,150,60.5488,54.2716,1,0.35261,0.57866,0.289,0.001,0.107,0.552,0.28278,0.26415,89230,42975.1131,37123.7905,42461.0,1,21430.75,64303.25,25343.8384,25383.9756,137.8333,7.6262,10.4243,5.7664,3.4876,4.584,8.0458,6.6234,9.6127,47.0863,16.2656,27.1279,13.1371,0.047086,4.7557,25.5208,13.2922,12.4994
1,1,Delaporte,64637.0,05-May-2022 15:16:27,100,2.4897,4.4902,0,0,0,0,14.0097,19.3742,0.63331,0.65258,1.0304,42707.9204,0.24123,149.9104,236.7111,,,20983.914,0.61388,1294630.5617,61.6963,229.7206,314,84.6127,94.1858,83.0,0,28.75,130,61.1473,64.5972,1,0.4371,0.72513,0.359,0.001,0.098,0.78,0.35463,0.27703,116253,54302.3655,50625.6699,54498.0,1,24074.75,82869.25,33627.4332,32167.9294,214.1318,9.3164,14.0841,5.8734,3.2004,4.2897,9.7455,10.8576,14.8663,47.0863,20.0292,33.9561,15.7268,0.047086,4.2378,36.021,16.7017,13.2021
