,Unnamed: 0,Collection,Ncells,Timepoint,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume
0,1,Delaporte,60620.0,04-May-2022 10:55:20,100,1.5377,3.5932,0,0,0,0,10.1587,16.6254,0.40732,0.3885,0.95379,38934.7206,0.30047,88.5706,217.4455,,,12155.2182,0.3556,749021.007,61.6214,227.98,301,90.1957,127.3418,85,0,35,139,61.4205,57.879,1,0.2708,0.50946,0.194,0.001,0.065,0.408,0.25334,0.27358,70301,33286.3677,26232.7824,32562.5,1,15864.5,50318.5,19924.273,18485.4154,213.4145,16.5172,24.4756,13.8094,6.2004,10.1465,19.0454,12.1558,19.5018,47.0863,12.356,23.8344,8.5226,0.047086,2.731,18.7403,11.9092,12.9702
1,1,Delaporte,60312.0,04-May-2022 10:55:20,100,2.6324,5.9868,0,0,0,0,13.8667,21.2121,0.37711,0.35279,0.9355,42626.7649,0.35332,84.975,225.33,,,20702.3898,0.60564,866652.3051,41.8624,240.8648,321,101.4742,139.2129,104,0,49,149,60.9558,48.5663,1,0.31525,0.52498,0.2555,0.001,0.094,0.49,0.2568,0.2454,67597,32193.0392,26810.8787,31741.5,1,15300.5,48957.5,19205.0594,19246.7716,130.0107,12.0879,15.73,10.9036,4.2001,7.6542,14.9028,6.4392,7.9921,47.0863,14.3695,24.5678,11.442,0.047086,3.8611,22.6014,12.1057,11.624
2,1,Delaporte,56909.0,04-May-2022 10:55:20,100,2.673,6.8276,0,0,0,0,13.9612,22.6459,0.38809,0.35214,0.90736,41637.4886,0.42036,85.1183,219.3242,,,19835.259,0.58028,731235.8562,36.8655,241.7175,317,92.6706,133.0096,90,0,38,141,60.7977,51.7075,1,0.28251,0.50703,0.214,0.001,0.07,0.439,0.25119,0.25409,67593,31751.5846,24905.1337,30800.0,1,14509.75,48535.25,19486.7507,19173.8744,154.4059,11.5119,15.8843,10.1143,4.101,7.0991,13.9319,7.2517,10.5449,47.0863,12.8492,23.7014,9.276,0.047086,2.9193,20.1529,11.8086,12.0648
3,1,Delaporte,48465.0,04-May-2022 10:55:20,100,2.6853,6.3752,0,0,0,0,13.8532,21.9555,0.33415,0.29574,0.88505,40534.497,0.4655,71.415,213.7225,,,16970.2066,0.49646,658454.5314,38.8006,241.4819,327,92.7469,128.5157,90,0,38,141,61.9084,57.4275,1,0.2988,0.54377,0.22,0.001,0.074,0.462,0.26935,0.27315,56778,26722.0067,19929.6377,25847.0,1,12264.75,40921.75,16382.9017,15804.7634,149.1578,12.8823,18.817,10.8089,4.5008,7.7701,14.8788,9.2338,13.8399,47.0863,13.5862,25.3935,9.5585,0.047086,3.0606,21.0476,12.6657,12.9893
0,1,Delaporte,65173.0,04-May-2022 10:55:24,100,2.838,5.6965,0,0,0,0,14.9439,21.3833,0.41085,0.34131,0.83073,41962.6265,0.55668,86.5573,210.6763,,,24117.9725,0.70557,1197702.8226,49.6602,253.6046,320,118.5253,141.9457,125,0,72,165,60.0671,51.7953,1,0.40057,0.59623,0.361,0.001,0.156,0.617,0.27996,0.24875,67599,33001.7052,25585.8418,32750.0,1,16356.75,49431.25,19259.8327,17282.6905,124.8246,10.7727,14.2002,8.7871,3.7009,6.6589,12.5365,7.2295,9.4722,47.0863,18.3773,27.9267,16.3389,0.047086,6.6863,28.5814,13.2475,11.8135
1,1,Delaporte,66503.0,04-May-2022 10:55:24,100,2.7621,5.3109,0,0,0,0,14.6823,20.6412,0.38303,0.41531,1.0843,41617.5857,0.38651,91.8112,239.696,,,23951.9789,0.70071,1143134.8983,47.7261,221.0682,302,106.6892,131.674,110,0,51,158,63.957,59.8368,1,0.37618,0.61397,0.311,0.001,0.112,0.601,0.29827,0.26814,73007,34373.8895,25079.2449,33805.0,1,17077.25,51125.75,20124.35,16534.9343,161.6107,11.4435,16.6232,8.6459,4.001,6.3099,13.1506,9.3113,12.7325,47.0863,17.1892,28.7444,13.7963,0.047086,4.6615,27.7338,14.0935,12.7391
2,1,Delaporte,72878.0,04-May-2022 10:55:24,100,2.6302,4.8834,0,0,0,0,14.535,19.9747,0.40059,0.42304,1.056,43207.5223,0.32142,96.556,241.0318,,,24994.7526,0.73122,1430265.6322,57.2226,228.2418,321,118.9452,139.0643,126,0,76,164,58.8156,51.5154,1,0.42927,0.61943,0.4005,0.001,0.18,0.659,0.28513,0.24485,75706,36885.332,29094.6927,36637.5,1,18264.0,55262.0,21531.5272,19641.0364,106.9053,7.9434,10.1673,6.637,2.7011,5.0022,9.29,5.0499,6.3728,47.0863,19.6255,28.9853,18.034,0.047086,7.5809,30.559,13.5534,11.6756
3,1,Delaporte,45827.0,04-May-2022 10:55:24,100,3.4515,5.0414,0,0,0,0,15.8673,19.6841,0.24388,0.26638,1.0923,42972.8155,0.40226,59.6199,244.4652,,,20624.6741,0.60337,954346.5641,46.2721,223.8138,298,120.6442,139.2165,128,0,82,163,57.0816,48.2948,1,0.45504,0.63369,0.444,0.001,0.208,0.691,0.28437,0.23519,48660,23185.2365,19682.9,23049.0,1,11504.25,34753.75,13508.4828,12641.3046,59.3204,5.2843,6.4301,4.7314,1.7473,3.4871,6.3762,2.6699,2.9892,47.0863,20.825,29.6767,20.1529,0.047086,8.711,32.1128,13.5772,11.2083
0,1,Delaporte,53507.0,05-May-2022 15:16:20,100,3.6756,7.9255,0,0,0,0,17.2282,25.3093,0.399,0.32048,0.80321,44851.3027,0.5957,85.4541,214.1687,,,25644.9051,0.75024,966733.0834,37.6969,266.6424,299,94.0349,114.0069,98,0,42,139,58.7536,56.5902,1,0.39435,0.65417,0.32,0.001,0.101,0.661,0.32021,0.27275,67598,28792.1578,19547.8752,27114.0,1,13429.25,42737.75,18092.7275,14990.1929,203.4597,12.0009,17.7636,8.5348,4.4001,6.3576,13.0245,11.2062,15.5006,47.0863,18.0674,30.6236,14.1259,0.047086,4.4261,30.4648,15.062,12.9668
1,1,Delaporte,50927.0,05-May-2022 15:16:20,100,3.7098,7.9597,0,0,0,0,17.1669,25.2144,0.33401,0.3591,1.0751,43683.3263,0.36725,81.6763,244.5359,,,24635.6431,0.72071,894871.1655,36.3242,227.4486,280,91.0713,112.7833,95,0,41,135,57.0169,53.9948,1,0.38386,0.64358,0.31,0.001,0.096,0.641,0.31597,0.27239,64878,27849.728,19290.7851,26015.0,1,12813.25,41893.75,17600.7764,14955.8611,191.5983,11.4005,16.5001,8.6336,4.1014,6.2706,12.8155,10.0832,14.167,47.0863,17.5716,30.1183,13.655,0.047086,4.1436,29.5231,14.8482,12.9505
2,1,Delaporte,63768.0,05-May-2022 15:16:20,100,3.4539,7.8622,0,0,0,0,17.2231,25.7559,0.43939,0.4191,0.95383,42383.5232,0.30034,99.6865,226.8764,,,28719.7641,0.84019,1157246.2355,40.2944,237.858,306,89.2053,108.0304,91,0,38,133,57.4631,56.1387,1,0.39667,0.66986,0.311,0.001,0.094,0.681,0.32941,0.27731,78414,34619.4743,22731.0957,32674.5,1,15973.5,52358.5,21672.0923,18625.7486,186.449,10.7621,16.1076,7.6017,3.7,5.5315,12.11,9.4189,12.5174,47.0863,18.1478,31.3476,13.655,0.047086,4.0965,31.3124,15.4774,13.1935
3,1,Delaporte,55241.0,05-May-2022 15:16:20,100,3.6702,8.5413,0,0,0,0,17.3427,26.3085,0.36372,0.39926,1.0977,43859.2433,0.41249,90.0528,247.5912,,,26437.0585,0.77341,937960.1115,35.479,225.5465,279,89.3548,111.4393,91,0,38,134,57.3564,55.3875,1,0.37014,0.64045,0.281,0.001,0.085,0.618,0.31695,0.27975,70303,30898.8702,20638.3043,28557.0,1,13859.75,47080.25,19774.2069,17255.5784,203.087,12.7794,19.1078,9.4535,4.6003,6.9168,14.2415,11.5111,16.3217,47.0863,16.9794,29.9873,12.4779,0.047086,3.814,28.4401,14.8617,13.2729
