Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples,Permutation,diff_RMSE,diff_MAE,cross_mean
11285_x_E.ce,combinatoric,LGBMRegressor,0.09055218747129247,0.046005247570453746,0.09486554919319462,0.04607875047898525,0.11568097375760403,-4.6266707652196075,[0.82794046 0.84985016 0.83712857 ... 0.82296184 0.81920328 0.81419269],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,B_Biofilm_SubstratumCoverage,0.03065759183614726,0.022061952791495934,0.026359772313821597
11285_x_E.ce,combinatoric,LGBMRegressor,0.09386301448753658,0.04876813906393148,0.09839689284610272,0.04449981149043227,0.12485137810650598,-5.554118864731386,[0.74403109 0.73040285 0.73082895 ... 0.79338398 0.90341549 0.79338398],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,B_Biofilm_Volume,0.039827996185049216,0.02537277980774004,0.03260038799639463
11285_x_E.ce,combinatoric,LGBMRegressor,0.07309767099483,0.029398826171498197,0.07692564946640135,0.02754798559087163,0.10092647808575761,-3.282899360123694,[0.86191913 0.77386936 0.85322998 ... 0.91012403 0.90182717 0.91012403],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,P_Biofilm_Height,0.015903096164300842,0.004607436315033464,0.010255266239667153
11285_x_E.ce,combinatoric,LGBMRegressor,0.07399502583901951,0.03172882398363573,0.07781454067954814,0.030056402924757933,0.10311583506211514,-3.4707291403055702,[0.85645126 0.8649565  0.85645126 ... 0.91012403 0.91012403 0.91012403],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,P_Biofilm_Volume,0.01809245314065837,0.005504791159222977,0.011798622149940673
11285_x_E.ce,combinatoric,LGBMRegressor,0.06849023467979654,0.029398826171498197,0.07216790943305385,0.02754798559087163,0.08502338192145677,-2.0395156497403004,[0.86191913 0.84829089 0.84829089 ... 0.91012403 0.90636548 0.91012403],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,P_Biofilm_SubstratumCoverage,0.0,0.0,0.0
11285_x_E.ce,combinatoric,LGBMRegressor,0.0693119666168388,0.024887304337115706,0.07297599971344937,0.029387492854448263,0.08373853484334041,-1.948345320505029,[0.92169926 0.92762419 0.89445269 ... 0.91012403 0.94618367 0.91012403],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944,Modele,-0.0012848470781163523,0.0008217319370422693,-0.0002315575705370415
11285_x_E.co,combinatoric,LGBMRegressor,0.08595376227793224,0.16878599764593452,0.1568141195232099,0.14644037149,0.10912258510449536,0.7865261366558721,[0.44919376 0.44919376 0.44919376 ... 0.85269382 0.84766792 0.84766792],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,No Permutation,0.0,0.0,0.0
11285_x_E.co,combinatoric,LGBMRegressor,0.11251651255366926,0.15490625302038924,0.1774828465259413,0.12504902572261226,0.15359694781189537,0.5770582191438638,[0.46512579 0.46142706 0.42774885 ... 0.85115221 0.84772432 0.84772432],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,B_Biofilm_Height,0.0444743627074,0.026562750275737027,0.035518556491568515
11285_x_E.co,combinatoric,LGBMRegressor,0.09408726056330527,0.18832670437859567,0.1615971335028198,0.17980515152823395,0.1196261326989382,0.7434526434190197,[0.42709672 0.42709672 0.43134228 ... 0.61745263 0.64884162 0.61126692],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,B_Biofilm_Roughness,0.01050354759444283,0.008133498285373034,0.009318522939907932
11285_x_E.co,combinatoric,LGBMRegressor,0.0948759432474509,0.16878599764593452,0.15902963876699533,0.14644037149,0.12427237516826249,0.7231371941185134,[0.44919376 0.44919376 0.49723817 ... 0.73994818 0.73492227 0.72708644],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944,B_Biofilm_SubstratumCoverage,0.015149790063767127,0.008922180969518662,0.012035985516642894
