Permutation,Weighted Cross Mean (RMSE and MAE),Unweighted Mean (RMSE and MAE)
B_Biofilm_Height,0.014775861582650906,0.0137933147015587
B_Biofilm_Roughness,0.002903895979103801,0.002633898466118236
B_Biofilm_SubstratumCoverage,0.010368598539357888,0.010179570651950477
B_Biofilm_Volume,0.018115686013789694,0.01468835353717674
Modele,0.08862714624853486,0.10031053204337922
No Permutation,0.0,0.0
P_Biofilm_Height,0.02354649309158436,0.017396626310692827
P_Biofilm_SubstratumCoverage,0.0014341018031050249,0.0018555379052168385
P_Biofilm_Volume,0.0035384562608505154,0.004148750006167112
