Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples,Permutation,diff_RMSE,diff_MAE,Weighted diff_RMSE,Weighted diff_MAE,Weighted RMSE,Weighted MAE,Weighted Cross Mean
0,1202,combinatoric,LGBMRegressor,0.1541557620169031,0.205578375242608,[0.58655792 0.59957119 0.61632732 ... 0.75507924 0.76521913 0.53239354],"[[0.596501 ]
 [0.6126219]
 [0.596501 ]
 ...
 [0.5751443]
 [0.5751443]
 [0.5751443]]",5112,B_Biofilm_Volume,0.0015507163421867032,0.002227273270645702,2.297357543980301e-05,3.2996641046602994e-05,0.003045605559149748,0.002283789066917083,2.7985108243203003e-05
0,1202,combinatoric,LGBMRegressor,0.2123545352717542,0.2707732732766797,[0.6704938  0.65707462 0.35730708 ... 0.37639326 0.81802325 0.36019384],"[[0.596501 ]
 [0.6126219]
 [0.596501 ]
 ...
 [0.5751443]
 [0.5751443]
 [0.5751443]]",5112,P_Biofilm_Height,0.06674561437625842,0.060426046525496824,0.00098882391668531,0.0008952006892666197,0.0040114559003952555,0.0031459931151370996,0.0009420123029759647
0,1202,combinatoric,LGBMRegressor,0.1556544834030826,0.2070719432465894,[0.67751447 0.68170227 0.69854903 ... 0.81595781 0.81802325 0.81400219],"[[0.596501 ]
 [0.6126219]
 [0.596501 ]
 ...
 [0.5751443]
 [0.5751443]
 [0.5751443]]",5112,P_Biofilm_Volume,0.0030442843461681024,0.0037259946568252156,4.510050883212004e-05,5.519992084185505e-05,0.0030677324925420654,0.002305992346712335,5.015021483698754e-05
0,1202,combinatoric,LGBMRegressor,0.1528772255487334,0.2063215792684558,[0.65678652 0.65707462 0.65518707 ... 0.81802325 0.81255443 0.80695235],"[[0.596501 ]
 [0.6126219]
 [0.596501 ]
 ...
 [0.5751443]
 [0.5751443]
 [0.5751443]]",5112,P_Biofilm_SubstratumCoverage,0.0022939203680344966,0.0009487368024760079,3.398400545236291e-05,1.4055360036681599e-05,0.003056615989162308,0.0022648477859071614,2.4019682744522256e-05
0,1202,combinatoric,LGBMRegressor,0.2198895068575307,0.2791941702788766,[0.90285473 0.65707462 0.90537614 ... 0.76831698 0.81802325 0.81802325],"[[0.596501 ]
 [0.6126219]
 [0.596501 ]
 ...
 [0.5751443]
 [0.5751443]
 [0.5751443]]",5112,Modele,0.07516651137845531,0.06796101811127331,0.0011135779463474862,0.0010068298979447898,0.004136209930057431,0.0032576223238152697,0.0010602039221461381
0,1218,combinatoric,LGBMRegressor,0.1516676036442109,0.2211104932082134,[0.5577127  0.63645427 0.59618012 ... 0.49662806 0.53818255 0.48376614],"[[0.7140313 ]
 [0.40903002]
 [0.7140313 ]
 ...
 [0.7400709 ]
 [0.55605143]
 [0.68774915]]",5112,B_Biofilm_Height,0.005976057045217115,0.006429223092955183,8.853417844766096e-05,9.524774952526197e-05,0.0032757110104920505,0.002246927461395717,9.189096398646147e-05
0,1218,combinatoric,LGBMRegressor,0.1452383805512557,0.2151344361629963,[0.6418857  0.63645427 0.63645427 ... 0.75424283 0.75803678 0.75803678],"[[0.7140313 ]
 [0.40903002]
 [0.7140313 ]
 ...
 [0.7400709 ]
 [0.55605143]
 [0.68774915]]",5112,B_Biofilm_Roughness,0.0,0.0,0.0,0.0,0.00318717683204439,0.002151679711870455,0.0
0,1218,combinatoric,LGBMRegressor,0.1468771654808442,0.2188085275134641,[0.6418857  0.73400408 0.65148985 ... 0.72738805 0.731182   0.731182  ],"[[0.7140313 ]
 [0.40903002]
 [0.7140313 ]
 ...
 [0.7400709 ]
 [0.55605143]
 [0.68774915]]",5112,B_Biofilm_SubstratumCoverage,0.003674091350467812,0.0016387849295884938,5.443098296989351e-05,2.427829525316287e-05,0.003241607815014283,0.002175958007123618,3.935463911152819e-05
0,1218,combinatoric,LGBMRegressor,0.1445552917039859,0.2116703245705826,[0.70837247 0.63645427 0.4857686  ... 0.83149982 0.71989142 0.76110367],"[[0.7140313 ]
 [0.40903002]
 [0.7140313 ]
 ...
 [0.7400709 ]
 [0.55605143]
 [0.68774915]]",5112,B_Biofilm_Volume,-0.0034641115924136934,-0.0006830888472698082,-5.1320171739462126e-05,-1.011983477436753e-05,0.0031358566603049277,0.0021415598770960875,-3.072000325691483e-05
0,1218,combinatoric,LGBMRegressor,0.1968007884888817,0.26467688829061,[0.65761987 0.63612504 0.63645427 ... 0.44658237 0.44658237 0.45067925],"[[0.7140313 ]
 [0.40903002]
 [0.7140313 ]
 ...
 [0.7400709 ]
 [0.55605143]
 [0.68774915]]",5112,P_Biofilm_Height,0.049542452127613684,0.05156240793762598,0.000733962253742425,0.0007638875250018664,0.003921139085786815,0.0029155672368723212,0.0007489248893721457
0,1218,combinatoric,LGBMRegressor,0.1515836891345254,0.2208255175022782,[0.6375893  0.63285185 0.6418857  ... 0.75745624 0.75803678 0.7612502 ],"[[0.7140313 ]
 [0.40903002]
 [0.7140313 ]
 ...
 [0.7400709 ]
 [0.55605143]
 [0.68774915]]",5112,P_Biofilm_Volume,0.005691081339281895,0.006345308583269704,8.431231613750955e-05,9.400457160399563e-05,0.0032714891481818993,0.0022456842834744505,8.915844387075259e-05
0,1218,combinatoric,LGBMRegressor,0.1455571396402483,0.2158125534602118,[0.63477899 0.6418857  0.63645427 ... 0.75335878 0.75803678 0.75803678],"[[0.7140313 ]
 [0.40903002]
 [0.7140313 ]
 ...
 [0.7400709 ]
 [0.55605143]
 [0.68774915]]",5112,P_Biofilm_SubstratumCoverage,0.0006781172972155081,0.00031875908899259286,1.004618218097049e-05,4.722356873964339e-06,0.0031972230142253604,0.0021564020687444194,7.384269527467415e-06
