Permutation,Weighted RMSE,Weighted MAE,Unweighted RMSE,Unweighted MAE,Weighted Cross Mean
B_Biofilm_Height,0.011648217983913502,0.010331538656015549,0.0052322439373034685,0.00445878656968451,0.010989878319964525
B_Biofilm_Roughness,0.002542627783574354,0.0021047062637385055,0.0015358227375835613,0.00108054158932695,0.00232366702365643
B_Biofilm_SubstratumCoverage,0.008105163689232866,0.0064873415863089135,0.002482749300664527,0.0019649722164459243,0.0072962526377708895
B_Biofilm_Volume,0.014868673717434246,0.01217748651944948,0.00270414873377449,0.0024922548437673587,0.013523080118441864
Modele,0.07580200592914703,0.06866419370535798,0.06573780742833792,0.0622379717997834,0.07223309981725251
P_Biofilm_Height,0.023153410257964486,0.01897540467903035,0.012943967793481387,0.0105110641671702,0.021064407468497418
P_Biofilm_Volume,0.004661469794853902,0.0031529009313756447,0.002944981516502805,0.001893887929465578,0.003907185363114773
